Date,Open,Close,High,Low,Volume
3/1/2000,$0.94 ,$1.00 ,$1.00 ,$0.91 ,"4,784,100"
4/1/2000,$0.97 ,$0.92 ,$0.99 ,$0.90 ,"4,569,000"
5/1/2000,$0.93 ,$0.93 ,$0.99 ,$0.92 ,"6,949,300"
6/1/2000,$0.95 ,$0.85 ,$0.96 ,$0.85 ,"6,857,000"
7/1/2000,$0.86 ,$0.89 ,$0.90 ,$0.85 ,"4,113,700"
10/1/2000,$0.91 ,$0.87 ,$0.91 ,$0.85 ,"4,509,500"
11/1/2000,$0.86 ,$0.83 ,$0.89 ,$0.81 ,"3,941,900"
12/1/2000,$0.85 ,$0.78 ,$0.85 ,$0.77 ,"8,714,900"
13/1/2000,$0.84 ,$0.86 ,$0.88 ,$0.83 ,"9,220,400"
14/1/2000,$0.89 ,$0.90 ,$0.91 ,$0.89 ,"3,485,500"
18/1/2000,$0.90 ,$0.93 ,$0.95 ,$0.90 ,"4,099,800"
19/1/2000,$0.94 ,$0.95 ,$0.97 ,$0.92 ,"5,336,100"
20/1/2000,$1.03 ,$1.01 ,$1.08 ,$1.01 ,"16,349,400"
21/1/2000,$1.02 ,$0.99 ,$1.02 ,$0.98 ,"4,427,900"
24/1/2000,$0.97 ,$0.95 ,$1.01 ,$0.94 ,"3,937,400"
25/1/2000,$0.94 ,$1.00 ,$1.01 ,$0.91 ,"4,439,300"
26/1/2000,$0.98 ,$0.98 ,$1.02 ,$0.98 ,"3,278,200"
27/1/2000,$0.97 ,$0.98 ,$1.01 ,$0.96 ,"3,037,000"
28/1/2000,$0.97 ,$0.91 ,$0.99 ,$0.90 ,"3,780,000"
31/1/2000,$0.90 ,$0.93 ,$0.93 ,$0.84 ,"6,265,000"
1/2/2000,$0.93 ,$0.90 ,$0.94 ,$0.89 ,"2,839,600"
2/2/2000,$0.90 ,$0.88 ,$0.91 ,$0.87 ,"4,144,600"
3/2/2000,$0.90 ,$0.92 ,$0.93 ,$0.90 ,"4,242,800"
4/2/2000,$0.93 ,$0.96 ,$0.98 ,$0.93 ,"3,797,500"
7/2/2000,$0.96 ,$1.02 ,$1.02 ,$0.95 ,"3,938,100"
8/2/2000,$1.02 ,$1.03 ,$1.04 ,$0.99 ,"3,648,600"
9/2/2000,$1.02 ,$1.01 ,$1.05 ,$1.00 ,"2,672,900"
10/2/2000,$1.01 ,$1.01 ,$1.02 ,$0.97 ,"2,705,200"
11/2/2000,$1.01 ,$0.97 ,$1.02 ,$0.97 ,"1,895,100"
14/2/2000,$0.98 ,$1.03 ,$1.03 ,$0.97 ,"3,281,600"
15/2/2000,$1.03 ,$1.06 ,$1.07 ,$1.03 ,"4,337,000"
16/2/2000,$1.05 ,$1.02 ,$1.05 ,$1.00 ,"3,377,200"
17/2/2000,$1.03 ,$1.03 ,$1.03 ,$1.01 ,"2,584,800"
18/2/2000,$1.02 ,$0.99 ,$1.03 ,$0.99 ,"2,084,300"
22/2/2000,$0.98 ,$1.02 ,$1.04 ,$0.95 ,"3,770,500"
23/2/2000,$1.01 ,$1.04 ,$1.06 ,$0.99 ,"4,224,100"
24/2/2000,$1.05 ,$1.03 ,$1.06 ,$1.00 ,"3,361,000"
25/2/2000,$1.03 ,$0.99 ,$1.04 ,$0.98 ,"2,224,500"
28/2/2000,$0.98 ,$1.01 ,$1.03 ,$0.97 ,"2,931,500"
29/2/2000,$1.01 ,$1.02 ,$1.05 ,$1.01 ,"3,294,300"
1/3/2000,$1.06 ,$1.16 ,$1.18 ,$1.06 ,"9,616,100"
2/3/2000,$1.13 ,$1.09 ,$1.14 ,$1.08 ,"2,779,100"
3/3/2000,$1.12 ,$1.14 ,$1.14 ,$1.07 ,"2,887,200"
6/3/2000,$1.13 ,$1.12 ,$1.15 ,$1.12 ,"1,880,000"
7/3/2000,$1.13 ,$1.10 ,$1.14 ,$1.08 ,"2,437,600"
8/3/2000,$1.10 ,$1.09 ,$1.11 ,$1.06 ,"2,421,700"
9/3/2000,$1.08 ,$1.09 ,$1.12 ,$1.06 ,"2,470,700"
10/3/2000,$1.09 ,$1.12 ,$1.14 ,$1.08 ,"2,219,700"
13/3/2000,$1.09 ,$1.08 ,$1.13 ,$1.07 ,"2,721,100"
14/3/2000,$1.08 ,$1.02 ,$1.11 ,$1.02 ,"3,826,600"
15/3/2000,$1.03 ,$1.04 ,$1.07 ,$1.02 ,"3,960,800"
16/3/2000,$1.05 ,$1.09 ,$1.09 ,$1.02 ,"3,375,900"
17/3/2000,$1.07 ,$1.12 ,$1.12 ,$1.07 ,"2,723,600"
20/3/2000,$1.10 ,$1.10 ,$1.13 ,$1.09 ,"1,825,800"
21/3/2000,$1.09 ,$1.20 ,$1.22 ,$1.09 ,"4,681,500"
22/3/2000,$1.19 ,$1.29 ,$1.29 ,$1.17 ,"5,071,400"
23/3/2000,$1.27 ,$1.26 ,$1.34 ,$1.25 ,"5,022,900"
24/3/2000,$1.27 ,$1.24 ,$1.29 ,$1.21 ,"3,990,300"
27/3/2000,$1.23 ,$1.25 ,$1.29 ,$1.22 ,"2,492,700"
28/3/2000,$1.23 ,$1.24 ,$1.27 ,$1.22 ,"1,812,200"
29/3/2000,$1.24 ,$1.21 ,$1.25 ,$1.19 ,"2,141,900"
30/3/2000,$1.19 ,$1.12 ,$1.23 ,$1.12 ,"3,700,000"
31/3/2000,$1.14 ,$1.21 ,$1.23 ,$1.13 ,"3,612,800"
3/4/2000,$1.21 ,$1.19 ,$1.25 ,$1.16 ,"2,933,600"
4/4/2000,$1.18 ,$1.14 ,$1.19 ,$1.04 ,"5,895,900"
5/4/2000,$1.13 ,$1.16 ,$1.19 ,$1.11 ,"4,086,300"
6/4/2000,$1.17 ,$1.12 ,$1.20 ,$1.10 ,"2,318,100"
7/4/2000,$1.14 ,$1.18 ,$1.18 ,$1.12 ,"2,164,700"
10/4/2000,$1.18 ,$1.12 ,$1.19 ,$1.11 ,"1,895,200"
11/4/2000,$1.10 ,$1.07 ,$1.12 ,$1.05 ,"4,837,700"
12/4/2000,$1.06 ,$0.98 ,$1.06 ,$0.94 ,"8,406,500"
13/4/2000,$1.00 ,$1.02 ,$1.07 ,$0.97 ,"4,730,600"
14/4/2000,$0.98 ,$1.00 ,$1.05 ,$0.97 ,"5,960,900"
17/4/2000,$0.98 ,$1.11 ,$1.11 ,$0.97 ,"3,656,800"
18/4/2000,$1.10 ,$1.13 ,$1.13 ,$1.07 ,"3,490,700"
19/4/2000,$1.13 ,$1.08 ,$1.16 ,$1.07 ,"4,644,200"
20/4/2000,$1.10 ,$1.06 ,$1.11 ,$1.05 ,"6,447,500"
24/4/2000,$1.03 ,$1.08 ,$1.08 ,$1.02 ,"3,960,900"
