Date,Open,Close,High,Low,Volume
13/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"295,300"
14/8/1986, $0.22 , $0.22 , $0.23 , $0.22 ,"65,000"
15/8/1986, $0.22 , $0.22 , $0.22 , $0.22 ,"67,700"
18/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"44,200"
19/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"32,200"
20/8/1986, $0.21 , $0.21 , $0.23 , $0.21 ,"10,700"
21/8/1986, $0.22 , $0.22 , $0.23 , $0.22 ,"13,800"
22/8/1986, $0.22 , $0.22 , $0.23 , $0.22 ,"27,100"
25/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"9,800"
26/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"12,400"
27/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"39,700"
28/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"24,300"
29/8/1986, $0.21 , $0.21 , $0.22 , $0.21 ,"24,200"
2/9/1986, $0.22 , $0.22 , $0.23 , $0.22 ,"16,700"
3/9/1986, $0.22 , $0.22 , $0.23 , $0.22 ,"6,300"
4/9/1986, $0.25 , $0.25 , $0.26 , $0.25 ,"28,200"
5/9/1986, $0.25 , $0.25 , $0.26 , $0.25 ,"33,400"
8/9/1986, $0.24 , $0.24 , $0.25 , $0.24 ,"7,700"
9/9/1986, $0.25 , $0.25 , $0.26 , $0.25 ,"7,800"
10/9/1986, $0.26 , $0.26 , $0.27 , $0.26 ,"14,600"
11/9/1986, $0.23 , $0.23 , $0.24 , $0.23 ,"28,100"
12/9/1986, $0.23 , $0.23 , $0.24 , $0.23 ,"20,100"
15/9/1986, $0.26 , $0.26 , $0.27 , $0.26 ,"15,600"
16/9/1986, $0.27 , $0.27 , $0.28 , $0.27 ,"19,600"
17/9/1986, $0.29 , $0.29 , $0.30 , $0.29 ,"21,200"
18/9/1986, $0.29 , $0.29 , $0.30 , $0.29 ,"5,500"
19/9/1986, $0.29 , $0.29 , $0.30 , $0.29 ,"16,000"
22/9/1986, $0.28 , $0.28 , $0.29 , $0.28 ,"12,200"
23/9/1986, $0.27 , $0.27 , $0.28 , $0.27 ,"28,100"
24/9/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"20,500"
25/9/1986, $0.27 , $0.27 , $0.28 , $0.27 ,"25,900"
26/9/1986, $0.27 , $0.27 , $0.28 , $0.27 ,"12,000"
29/9/1986, $0.27 , $0.27 , $0.28 , $0.27 ,"7,400"
30/9/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"3,000"
1/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"5,800"
2/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"3,500"
3/10/1986, $0.27 , $0.27 , $0.28 , $0.27 ,700
6/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"2,000"
7/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"3,100"
8/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"3,200"
9/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"12,400"
10/10/1986, $0.27 , $0.27 , $0.29 , $0.27 ,"3,500"
13/10/1986, $0.28 , $0.28 , $0.29 , $0.28 ,"7,100"
14/10/1986, $0.28 , $0.28 , $0.29 , $0.28 ,"7,500"
15/10/1986, $0.28 , $0.28 , $0.29 , $0.28 ,"5,500"
16/10/1986, $0.28 , $0.28 , $0.29 , $0.28 ,"5,500"
17/10/1986, $0.28 , $0.28 , $0.29 , $0.28 ,"1,300"
20/10/1986, $0.28 , $0.28 , $0.29 , $0.28 ,700
21/10/1986, $0.29 , $0.29 , $0.29 , $0.29 ,"5,100"
22/10/1986, $0.29 , $0.29 , $0.30 , $0.29 ,"17,200"
23/10/1986, $0.29 , $0.29 , $0.30 , $0.29 ,"11,600"
24/10/1986, $0.32 , $0.32 , $0.32 , $0.32 ,"25,800"
27/10/1986, $0.32 , $0.32 , $0.33 , $0.32 ,"11,400"
28/10/1986, $0.32 , $0.32 , $0.33 , $0.32 ,"28,200"
29/10/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"182,300"
30/10/1986, $0.37 , $0.37 , $0.38 , $0.37 ,"33,600"
31/10/1986, $0.37 , $0.37 , $0.37 , $0.37 ,"31,100"
3/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"21,700"
4/11/1986, $0.34 , $0.34 , $0.35 , $0.34 ,"31,300"
5/11/1986, $0.34 , $0.34 , $0.35 , $0.34 ,"17,100"
6/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"36,400"
7/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"17,100"
10/11/1986, $0.36 , $0.36 , $0.37 , $0.36 ,"39,500"
11/11/1986, $0.36 , $0.36 , $0.36 , $0.36 ,"13,700"
12/11/1986, $0.36 , $0.36 , $0.37 , $0.36 ,"6,900"
13/11/1986, $0.36 , $0.36 , $0.36 , $0.36 ,"8,600"
14/11/1986, $0.36 , $0.36 , $0.37 , $0.36 ,"7,000"
17/11/1986, $0.36 , $0.36 , $0.36 , $0.36 ,"10,700"
18/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"16,600"
19/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"5,700"
20/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"7,100"
21/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"1,400"
24/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"4,000"
25/11/1986, $0.35 , $0.35 , $0.36 , $0.35 ,"8,100"
26/11/1986, $0.37 , $0.37 , $0.38 , $0.37 ,"26,000"
28/11/1986, $0.38 , $0.38 , $0.39 , $0.38 ,"8,100"
1/12/1986, $0.38 , $0.38 , $0.39 , $0.38 ,"10,700"
2/12/1986, $0.39 , $0.39 , $0.39 , $0.39 ,"14,200"
3/12/1986, $0.38 , $0.38 , $0.39 , $0.38 ,"6,600"
4/12/1986, $0.39 , $0.39 , $0.39 , $0.39 ,"23,200"
5/12/1986, $0.39 , $0.39 , $0.40 , $0.39 ,"25,500"
8/12/1986, $0.41 , $0.41 , $0.42 , $0.41 ,"42,500"
9/12/1986, $0.40 , $0.40 , $0.41 , $0.40 ,"71,300"
10/12/1986, $0.40 , $0.40 , $0.41 , $0.40 ,"49,900"
