Date,Open,Close,High,Low,Volume
15/5/1997, $0.12 , $0.10 , $0.13 , $0.10 ,"6,013,000"
16/5/1997, $0.10 , $0.09 , $0.10 , $0.09 ,"1,225,000"
19/5/1997, $0.09 , $0.09 , $0.09 , $0.08 ,"508,900"
20/5/1997, $0.09 , $0.08 , $0.09 , $0.08 ,"455,600"
21/5/1997, $0.08 , $0.07 , $0.08 , $0.07 ,"1,571,100"
22/5/1997, $0.07 , $0.07 , $0.07 , $0.07 ,"972,800"
23/5/1997, $0.07 , $0.08 , $0.08 , $0.07 ,"1,328,100"
27/5/1997, $0.08 , $0.08 , $0.08 , $0.07 ,"724,800"
28/5/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"381,200"
29/5/1997, $0.08 , $0.08 , $0.08 , $0.07 ,"289,400"
30/5/1997, $0.08 , $0.08 , $0.08 , $0.07 ,"216,200"
2/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"49,300"
3/6/1997, $0.08 , $0.07 , $0.08 , $0.07 ,"98,600"
4/6/1997, $0.07 , $0.07 , $0.07 , $0.07 ,"256,700"
5/6/1997, $0.07 , $0.08 , $0.08 , $0.07 ,"472,700"
6/6/1997, $0.08 , $0.08 , $0.09 , $0.08 ,"650,600"
9/6/1997, $0.08 , $0.08 , $0.09 , $0.08 ,"196,000"
10/6/1997, $0.09 , $0.08 , $0.09 , $0.08 ,"454,900"
11/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"99,000"
12/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"136,000"
13/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"57,800"
16/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"76,100"
17/6/1997, $0.08 , $0.08 , $0.08 , $0.07 ,"392,200"
18/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"205,400"
19/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"83,600"
20/6/1997, $0.08 , $0.08 , $0.08 , $0.08 ,"282,300"
23/6/1997, $0.08 , $0.08 , $0.08 , $0.07 ,"87,300"
24/6/1997, $0.08 , $0.08 , $0.08 , $0.07 ,"62,600"
