Date,Open,Close,High,Low,Volume
9/5/1996, $22.20 , $23.20 , $24.40 , $22.20 ,"85,750"
10/5/1996, $24.00 , $24.00 , $24.20 , $23.60 ,"21,230"
13/5/1996, $24.00 , $23.90 , $24.10 , $23.30 ,"14,040"
14/5/1996, $24.00 , $23.60 , $24.10 , $23.10 ,"6,230"
15/5/1996, $23.60 , $23.20 , $23.70 , $23.00 ,"10,850"
16/5/1996, $23.10 , $22.60 , $23.10 , $22.30 ,"7,160"
17/5/1996, $22.60 , $22.80 , $23.00 , $22.60 ,"6,530"
20/5/1996, $22.90 , $22.50 , $23.00 , $22.40 ,"4,750"
21/5/1996, $22.70 , $22.60 , $22.80 , $22.30 ,"4,660"
22/5/1996, $22.70 , $22.00 , $22.70 , $21.80 ,"5,000"
23/5/1996, $22.00 , $22.10 , $22.20 , $21.70 ,"4,060"
24/5/1996, $22.10 , $21.60 , $22.10 , $21.40 ,"3,090"
28/5/1996, $21.90 , $21.20 , $22.10 , $21.20 ,"4,100"
29/5/1996, $21.00 , $20.80 , $21.30 , $20.70 ,"2,120"
30/5/1996, $20.70 , $20.50 , $20.80 , $20.00 ,"6,400"
31/5/1996, $20.20 , $20.40 , $20.40 , $19.80 ,"4,560"
3/6/1996, $20.40 , $20.10 , $20.50 , $20.00 ,"1,560"
4/6/1996, $20.10 , $21.40 , $21.40 , $20.10 ,"2,270"
5/6/1996, $21.40 , $21.86 , $22.00 , $21.30 ,"3,320"
6/6/1996, $21.86 , $21.70 , $22.00 , $21.70 ,"1,840"
7/6/1996, $21.50 , $21.60 , $21.80 , $21.20 ,"1,650"
10/6/1996, $21.70 , $21.20 , $21.90 , $21.10 ,"1,580"
11/6/1996, $21.20 , $21.40 , $21.70 , $21.20 ,"1,310"
12/6/1996, $21.60 , $22.00 , $22.00 , $21.40 ,"2,190"
13/6/1996, $22.00 , $22.06 , $22.20 , $21.90 ,"1,280"
14/6/1996, $22.20 , $22.00 , $22.20 , $21.70 ,840
17/6/1996, $22.00 , $21.82 , $22.06 , $21.70 ,830
18/6/1996, $21.86 , $21.66 , $21.86 , $21.50 ,920
19/6/1996, $21.60 , $21.30 , $21.70 , $21.24 ,770
20/6/1996, $21.40 , $20.70 , $21.46 , $20.50 ,"1,060"
21/6/1996, $20.50 , $20.70 , $20.70 , $20.48 ,"1,400"
24/6/1996, $20.66 , $20.60 , $20.80 , $20.50 ,"1,540"
25/6/1996, $20.60 , $20.40 , $20.70 , $20.10 ,"2,380"
26/6/1996, $20.52 , $20.40 , $20.60 , $20.30 ,"1,220"
27/6/1996, $20.30 , $20.20 , $20.36 , $20.06 ,"1,670"
28/6/1996, $20.10 , $20.66 , $20.66 , $20.10 ,"2,140"
1/7/1996, $20.66 , $21.50 , $21.50 , $20.60 ,"2,650"
2/7/1996, $21.66 , $21.70 , $21.80 , $21.46 ,"1,580"
3/7/1996, $21.76 , $21.30 , $21.76 , $21.10 ,840
5/7/1996, $21.00 , $20.70 , $21.10 , $20.60 ,"1,590"
8/7/1996, $20.80 , $20.96 , $21.50 , $20.60 ,"1,560"
9/7/1996, $21.00 , $21.20 , $21.40 , $20.66 ,"3,390"
10/7/1996, $21.30 , $20.98 , $21.36 , $20.70 ,"1,390"
11/7/1996, $21.06 , $20.80 , $21.06 , $20.60 ,"2,380"
12/7/1996, $20.60 , $20.84 , $21.06 , $20.60 ,"1,820"
15/7/1996, $20.80 , $20.66 , $20.90 , $20.44 ,"2,080"
16/7/1996, $20.50 , $20.70 , $21.10 , $20.10 ,"2,870"
17/7/1996, $20.86 , $21.10 , $21.30 , $20.64 ,"2,590"
18/7/1996, $21.00 , $21.20 , $21.30 , $21.00 ,960
19/7/1996, $21.20 , $21.10 , $21.36 , $21.00 ,"1,150"
22/7/1996, $21.00 , $20.84 , $21.10 , $20.84 ,"1,090"
