Date,Open,Close,High,Low,Volume
13/8/1997, $9.91 , $9.91 , $9.96 , $9.89 ,"60,600"
14/8/1997, $10.01 , $9.96 , $10.01 , $9.91 ,"48,200"
15/8/1997, $10.04 , $9.96 , $10.04 , $9.96 ,"53,600"
18/8/1997, $9.96 , $9.87 , $9.99 , $9.82 ,"69,200"
19/8/1997, $9.87 , $9.94 , $9.94 , $9.84 ,"50,800"
20/8/1997, $9.94 , $10.06 , $10.06 , $9.89 ,"50,300"
21/8/1997, $10.01 , $9.99 , $10.01 , $9.89 ,"39,800"
22/8/1997, $9.82 , $9.82 , $9.84 , $9.72 ,"40,400"
25/8/1997, $9.99 , $9.96 , $10.01 , $9.96 ,"37,400"
26/8/1997, $9.96 , $9.94 , $9.99 , $9.94 ,"41,000"
27/8/1997, $9.96 , $9.96 , $9.96 , $9.89 ,"125,200"
28/8/1997, $9.87 , $9.79 , $9.87 , $9.75 ,"90,500"
29/8/1997, $9.77 , $9.67 , $9.77 , $9.63 ,"66,200"
2/9/1997, $9.55 , $9.63 , $9.63 , $9.55 ,"41,600"
3/9/1997, $9.63 , $9.60 , $9.63 , $9.58 ,"37,300"
4/9/1997, $9.55 , $9.51 , $9.55 , $9.51 ,"48,500"
5/9/1997, $9.58 , $9.53 , $9.58 , $9.46 ,"70,500"
8/9/1997, $9.67 , $9.72 , $9.72 , $9.67 ,"51,700"
9/9/1997, $9.75 , $9.72 , $9.77 , $9.70 ,"27,100"
10/9/1997, $9.51 , $9.46 , $9.51 , $9.46 ,"57,200"
11/9/1997, $9.41 , $9.31 , $9.41 , $9.27 ,"44,900"
12/9/1997, $9.12 , $9.14 , $9.17 , $9.07 ,"47,700"
15/9/1997, $9.17 , $9.14 , $9.19 , $9.14 ,"42,700"
16/9/1997, $9.05 , $9.12 , $9.12 , $8.98 ,"156,300"
17/9/1997, $9.05 , $8.98 , $9.05 , $8.95 ,"64,000"
18/9/1997, $8.90 , $8.95 , $8.95 , $8.90 ,"32,300"
19/9/1997, $8.83 , $8.78 , $8.83 , $8.76 ,"72,700"
22/9/1997, $8.88 , $8.90 , $8.93 , $8.83 ,"65,800"
23/9/1997, $8.90 , $8.86 , $8.90 , $8.83 ,"61,000"
24/9/1997, $8.83 , $8.83 , $8.83 , $8.81 ,"65,400"
25/9/1997, $8.95 , $8.93 , $8.98 , $8.90 ,"42,300"
26/9/1997, $8.95 , $9.10 , $9.12 , $8.95 ,"53,000"
29/9/1997, $8.98 , $9.02 , $9.02 , $8.86 ,"66,900"
30/9/1997, $9.10 , $9.02 , $9.10 , $9.00 ,"43,900"
1/10/1997, $9.07 , $9.19 , $9.19 , $9.07 ,"27,800"
2/10/1997, $9.29 , $9.29 , $9.29 , $9.27 ,"27,400"
3/10/1997, $9.27 , $9.24 , $9.27 , $9.22 ,"51,800"
6/10/1997, $9.12 , $9.12 , $9.14 , $9.07 ,"36,800"
7/10/1997, $9.02 , $9.00 , $9.02 , $8.93 ,"32,700"
8/10/1997, $9.02 , $8.90 , $9.10 , $8.90 ,"58,800"
9/10/1997, $8.95 , $8.95 , $9.00 , $8.90 ,"69,400"
10/10/1997, $8.90 , $9.00 , $9.02 , $8.90 ,"30,900"
13/10/1997, $8.93 , $8.93 , $8.93 , $8.88 ,"41,100"
14/10/1997, $8.86 , $8.81 , $8.88 , $8.78 ,"43,900"
15/10/1997, $8.76 , $8.78 , $8.81 , $8.76 ,"32,700"
16/10/1997, $8.69 , $8.64 , $8.76 , $8.64 ,"41,800"
17/10/1997, $8.59 , $8.59 , $8.62 , $8.49 ,"54,200"
20/10/1997, $8.54 , $8.54 , $8.59 , $8.49 ,"61,500"
21/10/1997, $8.52 , $8.49 , $8.52 , $8.45 ,"39,200"
22/10/1997, $8.23 , $8.11 , $8.23 , $7.94 ,"96,000"
23/10/1997, $7.58 , $7.68 , $7.70 , $7.53 ,"438,100"
24/10/1997, $7.80 , $7.65 , $7.85 , $7.60 ,"487,100"
27/10/1997, $7.48 , $7.24 , $7.56 , $7.24 ,"493,300"
28/10/1997, $7.32 , $7.89 , $8.06 , $7.27 ,"115,100"
29/10/1997, $7.94 , $7.94 , $8.04 , $7.92 ,"94,200"
30/10/1997, $7.77 , $7.85 , $7.87 , $7.77 ,"180,500"
31/10/1997, $7.77 , $7.75 , $7.82 , $7.72 ,"44,500"
3/11/1997, $8.06 , $7.97 , $8.06 , $7.97 ,"61,300"
4/11/1997, $7.87 , $7.89 , $7.89 , $7.85 ,"26,600"
5/11/1997, $7.80 , $7.94 , $7.97 , $7.80 ,"135,000"
