Date,Open,Close,High,Low,Volume
11/11/1991, $6.02 , $6.00 , $6.03 , $5.98 ,"42,900"
12/11/1991, $6.05 , $6.00 , $6.05 , $5.95 ,"154,400"
13/11/1991, $5.95 , $6.00 , $6.00 , $5.92 ,"96,500"
14/11/1991, $5.66 , $5.61 , $5.66 , $5.50 ,"1,125,100"
15/11/1991, $5.61 , $5.52 , $5.66 , $5.50 ,"383,700"
18/11/1991, $5.53 , $5.41 , $5.55 , $5.39 ,"342,100"
19/11/1991, $5.38 , $5.33 , $5.38 , $5.14 ,"548,600"
20/11/1991, $5.38 , $5.23 , $5.38 , $5.22 ,"312,700"
21/11/1991, $5.23 , $5.17 , $5.23 , $5.14 ,"441,200"
22/11/1991, $5.16 , $5.09 , $5.17 , $5.08 ,"353,200"
25/11/1991, $5.06 , $4.97 , $5.08 , $4.91 ,"512,600"
26/11/1991, $5.00 , $4.88 , $5.05 , $4.70 ,"661,000"
27/11/1991, $4.89 , $4.98 , $5.02 , $4.89 ,"368,800"
29/11/1991, $5.03 , $5.16 , $5.22 , $5.03 ,"238,100"
2/12/1991, $5.16 , $5.42 , $5.45 , $5.14 ,"368,900"
3/12/1991, $5.44 , $5.25 , $5.47 , $5.16 ,"289,600"
4/12/1991, $5.30 , $5.23 , $5.31 , $5.19 ,"199,600"
5/12/1991, $5.23 , $5.14 , $5.25 , $5.13 ,"86,700"
6/12/1991, $5.08 , $4.97 , $5.22 , $4.97 ,"434,100"
9/12/1991, $4.98 , $4.95 , $5.00 , $4.94 ,"205,000"
10/12/1991, $4.95 , $4.92 , $4.98 , $4.92 ,"360,900"
11/12/1991, $4.95 , $4.88 , $4.97 , $4.81 ,"846,400"
12/12/1991, $4.91 , $5.05 , $5.06 , $4.91 ,"429,100"
13/12/1991, $5.06 , $5.06 , $5.13 , $5.05 ,"409,700"
16/12/1991, $5.06 , $5.06 , $5.08 , $5.05 ,"322,400"
17/12/1991, $5.08 , $5.00 , $5.08 , $4.97 ,"254,100"
18/12/1991, $5.02 , $4.94 , $5.02 , $4.94 ,"409,900"
