Date,Open,Close,High,Low,Volume
11/11/1991, $8.22 , $8.30 , $8.31 , $8.22 ,"280,800"
12/11/1991, $8.36 , $8.38 , $8.39 , $8.34 ,"581,800"
13/11/1991, $8.31 , $8.48 , $8.48 , $8.30 ,"539,300"
14/11/1991, $8.55 , $8.55 , $8.55 , $8.45 ,"557,900"
15/11/1991, $8.53 , $8.09 , $8.69 , $8.09 ,"1,364,200"
18/11/1991, $8.17 , $8.39 , $8.39 , $8.09 ,"1,274,600"
19/11/1991, $8.34 , $8.30 , $8.36 , $8.17 ,"950,800"
20/11/1991, $8.34 , $8.31 , $8.34 , $8.14 ,"880,000"
21/11/1991, $8.38 , $8.59 , $8.59 , $8.36 ,"917,500"
22/11/1991, $8.55 , $8.66 , $8.70 , $8.47 ,"1,009,400"
25/11/1991, $8.59 , $8.56 , $8.61 , $8.45 ,"864,700"
26/11/1991, $8.63 , $8.81 , $8.84 , $8.39 ,"1,300,100"
27/11/1991, $8.80 , $8.73 , $8.84 , $8.70 ,"632,800"
29/11/1991, $8.73 , $8.67 , $8.73 , $8.67 ,"270,400"
2/12/1991, $8.59 , $8.98 , $9.00 , $8.53 ,"981,600"
3/12/1991, $8.97 , $8.94 , $9.03 , $8.91 ,"566,000"
4/12/1991, $8.89 , $8.95 , $8.97 , $8.88 ,"690,200"
5/12/1991, $8.91 , $9.05 , $9.11 , $8.88 ,"772,500"
6/12/1991, $8.97 , $8.94 , $9.08 , $8.92 ,"904,300"
9/12/1991, $9.06 , $9.05 , $9.13 , $9.00 ,"630,900"
10/12/1991, $9.05 , $8.95 , $9.11 , $8.94 ,"592,700"
11/12/1991, $9.02 , $9.02 , $9.03 , $8.89 ,"959,500"
12/12/1991, $9.14 , $8.97 , $9.14 , $8.95 ,"566,400"
13/12/1991, $9.05 , $9.00 , $9.11 , $9.00 ,"522,400"
16/12/1991, $9.02 , $9.17 , $9.20 , $8.97 ,"608,900"
17/12/1991, $9.22 , $9.34 , $9.34 , $9.22 ,"698,300"
18/12/1991, $9.19 , $9.36 , $9.38 , $9.19 ,"808,800"
19/12/1991, $9.34 , $9.38 , $9.39 , $9.30 ,"773,800"
20/12/1991, $9.47 , $9.48 , $9.53 , $9.36 ,"2,346,800"
23/12/1991, $9.47 , $9.84 , $9.88 , $9.47 ,"1,212,700"
24/12/1991, $9.86 , $9.97 , $10.05 , $9.84 ,"764,600"
26/12/1991, $10.00 , $10.08 , $10.13 , $10.00 ,"508,500"
27/12/1991, $10.13 , $10.03 , $10.16 , $10.02 ,"704,300"
30/12/1991, $10.02 , $10.16 , $10.22 , $9.97 ,"1,415,600"
31/12/1991, $10.16 , $10.03 , $10.17 , $9.94 ,"1,071,400"
2/1/1992, $9.92 , $10.03 , $10.03 , $9.78 ,"984,600"
3/1/1992, $10.03 , $10.41 , $10.42 , $10.03 ,"1,346,300"
6/1/1992, $10.33 , $10.38 , $10.41 , $10.28 ,"1,493,000"
7/1/1992, $10.30 , $10.28 , $10.33 , $10.22 ,"932,500"
8/1/1992, $10.19 , $10.09 , $10.23 , $10.08 ,"1,137,800"
9/1/1992, $10.05 , $10.00 , $10.13 , $9.98 ,"1,199,900"
10/1/1992, $9.94 , $9.91 , $10.00 , $9.77 ,"957,600"
13/1/1992, $9.88 , $9.86 , $9.89 , $9.81 ,"723,200"
14/1/1992, $9.84 , $9.97 , $10.03 , $9.81 ,"932,600"
15/1/1992, $9.98 , $9.63 , $10.03 , $9.61 ,"1,307,500"
16/1/1992, $9.52 , $9.25 , $9.56 , $9.22 ,"2,229,600"
17/1/1992, $9.28 , $9.27 , $9.38 , $9.22 ,"2,257,800"
20/1/1992, $9.16 , $9.08 , $9.17 , $9.05 ,"1,385,300"
21/1/1992, $9.16 , $9.17 , $9.23 , $9.06 ,"1,292,100"
22/1/1992, $9.23 , $9.36 , $9.36 , $9.19 ,"1,164,200"
23/1/1992, $9.39 , $9.31 , $9.42 , $9.30 ,"1,146,500"
24/1/1992, $9.31 , $9.36 , $9.39 , $9.30 ,"1,036,200"
27/1/1992, $9.38 , $9.23 , $9.41 , $9.22 ,"723,000"
28/1/1992, $9.23 , $9.17 , $9.30 , $9.06 ,"881,800"
29/1/1992, $9.17 , $8.94 , $9.27 , $8.89 ,"1,207,900"
30/1/1992, $9.13 , $9.64 , $9.67 , $9.09 ,"2,506,800"
31/1/1992, $9.78 , $9.69 , $9.86 , $9.66 ,"1,820,700"
3/2/1992, $9.75 , $9.86 , $9.88 , $9.73 ,"1,050,200"
4/2/1992, $9.83 , $9.88 , $9.94 , $9.80 ,"1,189,300"
