Date,Open,Close,High,Low,Volume
22/10/1993, $9.07 , $8.84 , $9.25 , $8.84 ,"1,504,900"
25/10/1993, $8.84 , $9.07 , $9.07 , $8.78 ,"1,179,600"
26/10/1993, $9.07 , $8.78 , $9.07 , $8.78 ,"1,508,300"
27/10/1993, $8.72 , $8.49 , $8.72 , $8.43 ,"1,249,400"
28/10/1993, $8.49 , $8.61 , $8.61 , $8.43 ,"1,087,400"
29/10/1993, $8.55 , $8.26 , $8.55 , $8.14 ,"1,180,900"
1/11/1993, $8.31 , $8.43 , $8.43 , $8.26 ,"1,192,700"
2/11/1993, $8.43 , $8.31 , $8.49 , $8.26 ,"668,300"
3/11/1993, $8.43 , $8.31 , $8.55 , $8.26 ,"1,066,600"
4/11/1993, $8.31 , $8.08 , $8.43 , $8.02 ,"1,093,000"
5/11/1993, $8.14 , $8.31 , $8.31 , $7.97 ,"841,900"
8/11/1993, $8.31 , $8.49 , $8.61 , $8.26 ,"723,500"
9/11/1993, $8.49 , $8.37 , $8.66 , $8.37 ,"943,800"
10/11/1993, $8.43 , $8.84 , $8.84 , $8.31 ,"828,500"
11/11/1993, $8.78 , $8.72 , $8.90 , $8.66 ,"1,159,100"
12/11/1993, $8.66 , $8.72 , $8.84 , $8.66 ,"860,700"
15/11/1993, $8.84 , $8.84 , $8.84 , $8.72 ,"1,013,800"
16/11/1993, $8.78 , $8.84 , $8.90 , $8.72 ,"1,002,700"
17/11/1993, $8.90 , $8.72 , $8.95 , $8.72 ,"1,091,200"
18/11/1993, $8.78 , $8.55 , $8.78 , $8.49 ,"1,327,500"
19/11/1993, $8.61 , $8.37 , $8.61 , $8.31 ,"1,133,400"
22/11/1993, $8.43 , $8.37 , $8.43 , $8.20 ,"1,517,500"
23/11/1993, $8.31 , $8.66 , $8.66 , $8.31 ,"1,915,000"
24/11/1993, $8.66 , $8.49 , $8.66 , $8.43 ,"573,100"
26/11/1993, $8.55 , $8.49 , $8.55 , $8.43 ,"52,900"
29/11/1993, $8.43 , $8.43 , $8.55 , $8.43 ,"427,800"
30/11/1993, $8.55 , $8.90 , $8.90 , $8.43 ,"1,229,700"
1/12/1993, $8.95 , $9.30 , $9.36 , $8.90 ,"5,249,300"
2/12/1993, $9.30 , $9.48 , $9.59 , $9.30 ,"3,304,800"
3/12/1993, $9.48 , $9.42 , $9.54 , $9.30 ,"2,073,300"
6/12/1993, $9.36 , $9.77 , $9.83 , $9.36 ,"2,238,700"
7/12/1993, $9.77 , $9.36 , $9.94 , $9.19 ,"1,981,900"
8/12/1993, $9.30 , $9.42 , $9.48 , $9.19 ,"847,400"
9/12/1993, $9.42 , $9.30 , $9.48 , $9.25 ,"1,190,200"
10/12/1993, $9.25 , $9.30 , $9.36 , $9.25 ,"1,127,000"
13/12/1993, $9.25 , $9.13 , $9.36 , $8.90 ,"1,285,800"
14/12/1993, $9.01 , $8.90 , $9.13 , $8.90 ,"978,300"
15/12/1993, $9.01 , $9.13 , $9.13 , $8.90 ,"677,100"
16/12/1993, $9.13 , $8.95 , $9.13 , $8.90 ,"1,045,700"
17/12/1993, $9.01 , $9.30 , $9.42 , $9.01 ,"1,808,500"
20/12/1993, $9.25 , $9.19 , $9.30 , $9.07 ,"1,042,100"
21/12/1993, $9.19 , $9.07 , $9.25 , $9.07 ,"1,319,200"
22/12/1993, $9.01 , $9.07 , $9.13 , $8.84 ,"909,200"
23/12/1993, $9.01 , $8.95 , $9.13 , $8.95 ,"693,100"
27/12/1993, $9.07 , $9.07 , $9.07 , $8.95 ,"429,200"
28/12/1993, $9.07 , $8.84 , $9.07 , $8.78 ,"734,400"
29/12/1993, $8.84 , $8.78 , $8.95 , $8.78 ,"999,600"
30/12/1993, $8.84 , $9.01 , $9.13 , $8.84 ,"1,003,300"
31/12/1993, $8.95 , $8.95 , $9.30 , $8.95 ,"1,136,800"
3/1/1994, $8.90 , $8.90 , $9.01 , $8.78 ,"1,119,400"
4/1/1994, $8.90 , $8.84 , $8.95 , $8.78 ,"785,900"
5/1/1994, $8.78 , $8.78 , $8.90 , $8.78 ,"658,200"
6/1/1994, $8.84 , $8.49 , $8.84 , $8.49 ,"867,800"
7/1/1994, $8.49 , $8.20 , $8.55 , $8.20 ,"1,667,800"
10/1/1994, $8.31 , $8.08 , $8.31 , $8.08 ,"2,514,700"
11/1/1994, $8.02 , $8.08 , $8.14 , $7.97 ,"1,105,500"
12/1/1994, $8.08 , $8.02 , $8.14 , $7.85 ,"2,958,500"
13/1/1994, $8.08 , $8.14 , $8.26 , $7.97 ,"3,643,200"
14/1/1994, $8.08 , $8.26 , $8.37 , $8.02 ,"1,960,100"
17/1/1994, $8.26 , $8.61 , $8.66 , $8.26 ,"1,976,300"
18/1/1994, $8.49 , $8.55 , $8.55 , $8.26 ,"2,511,300"
19/1/1994, $8.66 , $8.78 , $8.90 , $8.61 ,"2,239,200"
20/1/1994, $8.66 , $8.72 , $8.78 , $8.61 ,"1,454,700"
21/1/1994, $8.72 , $8.66 , $8.78 , $8.55 ,"1,442,400"
24/1/1994, $8.61 , $8.61 , $8.66 , $8.55 ,"674,600"
25/1/1994, $8.49 , $8.55 , $8.61 , $8.37 ,"989,300"
26/1/1994, $8.49 , $8.43 , $8.61 , $8.37 ,"965,300"
27/1/1994, $8.31 , $8.31 , $8.43 , $8.26 ,"510,200"
28/1/1994, $8.26 , $8.20 , $8.37 , $8.20 ,"619,000"
31/1/1994, $8.31 , $8.26 , $8.31 , $8.14 ,"660,400"
1/2/1994, $8.14 , $8.08 , $8.20 , $8.02 ,"1,170,900"
2/2/1994, $8.02 , $7.97 , $8.08 , $7.91 ,"903,200"
3/2/1994, $7.91 , $8.37 , $8.37 , $7.91 ,"1,597,100"
4/2/1994, $8.43 , $8.02 , $8.43 , $7.97 ,"1,055,900"
7/2/1994, $7.97 , $7.97 , $8.08 , $7.91 ,"570,700"
8/2/1994, $8.02 , $8.02 , $8.14 , $7.91 ,"1,003,600"
9/2/1994, $8.02 , $8.14 , $8.26 , $8.02 ,"1,219,900"
10/2/1994, $8.14 , $8.26 , $8.31 , $8.14 ,"1,246,500"
11/2/1994, $8.26 , $8.20 , $8.31 , $8.14 ,"1,024,500"
14/2/1994, $8.14 , $8.14 , $8.26 , $8.02 ,"1,810,800"
15/2/1994, $8.14 , $8.26 , $8.26 , $8.02 ,"1,500,900"
16/2/1994, $8.14 , $8.78 , $8.78 , $8.14 ,"3,658,800"
17/2/1994, $8.72 , $8.72 , $9.01 , $8.66 ,"2,592,300"
18/2/1994, $8.72 , $8.84 , $8.90 , $8.66 ,"1,441,300"
22/2/1994, $8.78 , $8.78 , $8.84 , $8.61 ,"959,600"
23/2/1994, $8.72 , $8.78 , $8.90 , $8.72 ,"865,200"
24/2/1994, $8.66 , $8.84 , $8.90 , $8.66 ,"1,145,300"
25/2/1994, $8.78 , $9.25 , $9.30 , $8.78 ,"2,058,900"
28/2/1994, $9.36 , $9.30 , $9.36 , $9.25 ,"1,204,600"
1/3/1994, $9.25 , $9.19 , $9.30 , $9.01 ,"940,600"
2/3/1994, $9.07 , $9.25 , $9.30 , $8.90 ,"1,264,200"
3/3/1994, $9.25 , $9.83 , $10.06 , $9.25 ,"5,822,400"
4/3/1994, $9.71 , $9.77 , $9.88 , $9.59 ,"7,977,600"
7/3/1994, $9.71 , $9.65 , $9.88 , $9.54 ,"4,961,600"
8/3/1994, $9.54 , $9.48 , $9.54 , $9.36 ,"1,390,000"
9/3/1994, $9.48 , $9.65 , $9.65 , $9.25 ,"1,758,000"
10/3/1994, $9.59 , $9.36 , $9.71 , $9.36 ,"1,083,700"
11/3/1994, $9.30 , $9.42 , $9.48 , $9.30 ,"659,100"
14/3/1994, $9.42 , $9.48 , $9.65 , $9.42 ,"1,485,800"
15/3/1994, $9.42 , $9.59 , $9.71 , $9.42 ,"897,000"
16/3/1994, $9.54 , $9.25 , $9.54 , $9.19 ,"1,448,500"
17/3/1994, $9.30 , $9.42 , $9.42 , $9.19 ,"598,000"
18/3/1994, $9.42 , $9.36 , $9.48 , $9.30 ,"1,961,000"
21/3/1994, $9.36 , $9.30 , $9.42 , $9.19 ,"2,345,500"
22/3/1994, $9.13 , $9.07 , $9.36 , $9.01 ,"2,268,900"
23/3/1994, $9.01 , $9.01 , $9.19 , $9.01 ,"2,035,200"
24/3/1994, $9.07 , $8.90 , $9.13 , $8.78 ,"2,852,200"
25/3/1994, $8.84 , $8.66 , $8.95 , $8.66 ,"1,229,300"
28/3/1994, $8.66 , $8.37 , $8.72 , $8.20 ,"2,732,400"
29/3/1994, $8.43 , $8.20 , $8.49 , $8.14 ,"1,336,100"
30/3/1994, $8.14 , $8.26 , $8.31 , $8.14 ,"604,500"
31/3/1994, $8.20 , $8.43 , $8.43 , $8.08 ,"1,701,100"
4/4/1994, $8.31 , $8.14 , $8.37 , $8.08 ,"705,400"
5/4/1994, $8.20 , $8.37 , $8.49 , $8.14 ,"962,700"
6/4/1994, $8.37 , $8.02 , $8.37 , $7.97 ,"751,200"
7/4/1994, $8.14 , $8.02 , $8.14 , $7.91 ,"980,900"
8/4/1994, $7.97 , $7.85 , $8.02 , $7.79 ,"1,667,500"
11/4/1994, $7.97 , $7.91 , $7.97 , $7.85 ,"553,000"
12/4/1994, $7.97 , $7.85 , $7.97 , $7.79 ,"1,072,000"
13/4/1994, $7.79 , $7.44 , $7.79 , $7.38 ,"1,195,600"
14/4/1994, $7.44 , $7.27 , $7.44 , $7.27 ,"1,083,300"
15/4/1994, $7.27 , $7.36 , $7.44 , $7.21 ,"955,000"
18/4/1994, $7.33 , $7.09 , $7.38 , $7.04 ,"1,028,300"
19/4/1994, $7.15 , $6.69 , $7.15 , $6.57 ,"2,447,000"
20/4/1994, $6.80 , $6.54 , $6.80 , $6.51 ,"4,127,100"
21/4/1994, $6.63 , $6.92 , $6.92 , $6.51 ,"1,413,400"
22/4/1994, $6.98 , $6.86 , $7.04 , $6.86 ,"878,300"
25/4/1994, $6.98 , $6.83 , $6.98 , $6.74 ,"725,700"
26/4/1994, $6.92 , $6.80 , $6.98 , $6.74 ,"1,021,400"
28/4/1994, $6.80 , $6.63 , $6.86 , $6.57 ,"1,181,600"
29/4/1994, $6.69 , $7.04 , $7.09 , $6.63 ,"1,067,500"
2/5/1994, $7.15 , $7.24 , $7.33 , $7.04 ,"990,600"
3/5/1994, $7.21 , $7.15 , $7.33 , $6.98 ,"827,300"
4/5/1994, $7.21 , $7.04 , $7.21 , $6.98 ,"910,700"
5/5/1994, $7.09 , $7.04 , $7.09 , $6.86 ,"712,900"
6/5/1994, $6.86 , $6.69 , $7.04 , $6.63 ,"660,200"
9/5/1994, $6.74 , $6.51 , $6.74 , $6.51 ,"1,353,200"
10/5/1994, $6.57 , $6.86 , $6.86 , $6.57 ,"2,140,400"
11/5/1994, $6.80 , $6.51 , $6.80 , $6.51 ,"1,532,100"
12/5/1994, $6.57 , $6.57 , $6.69 , $6.51 ,"848,000"
13/5/1994, $6.57 , $6.51 , $6.57 , $6.34 ,"1,658,500"
16/5/1994, $6.57 , $6.51 , $6.63 , $6.45 ,"516,900"
17/5/1994, $6.45 , $6.34 , $6.51 , $6.22 ,"1,349,300"
18/5/1994, $6.34 , $6.28 , $6.37 , $6.16 ,"1,858,600"
19/5/1994, $6.22 , $6.22 , $6.34 , $6.11 ,"3,116,300"
20/5/1994, $6.22 , $6.54 , $6.63 , $6.22 ,"1,682,800"
