Date,Open,Close,High,Low,Volume
11/11/1991, $9.45 , $9.42 , $9.46 , $9.40 ,"205,700"
12/11/1991, $9.35 , $9.27 , $9.36 , $9.22 ,"698,400"
13/11/1991, $9.25 , $9.07 , $9.29 , $9.00 ,"1,004,300"
14/11/1991, $9.11 , $9.19 , $9.19 , $9.08 ,"672,600"
15/11/1991, $9.18 , $8.96 , $9.22 , $8.85 ,"966,700"
18/11/1991, $8.98 , $8.96 , $9.04 , $8.87 ,"738,800"
19/11/1991, $8.87 , $8.76 , $8.87 , $8.55 ,"1,287,800"
20/11/1991, $8.83 , $8.82 , $8.85 , $8.75 ,"438,600"
21/11/1991, $8.79 , $8.78 , $8.87 , $8.77 ,"384,200"
22/11/1991, $8.76 , $8.70 , $8.77 , $8.65 ,"359,900"
25/11/1991, $8.70 , $8.68 , $8.74 , $8.65 ,"373,700"
26/11/1991, $8.74 , $8.63 , $8.77 , $8.52 ,"597,000"
27/11/1991, $8.62 , $8.61 , $8.68 , $8.59 ,"292,500"
29/11/1991, $8.57 , $8.61 , $8.65 , $8.55 ,"137,800"
2/12/1991, $8.53 , $8.80 , $8.83 , $8.50 ,"478,200"
3/12/1991, $8.81 , $8.79 , $8.96 , $8.78 ,"328,100"
4/12/1991, $8.80 , $8.74 , $8.85 , $8.72 ,"343,400"
5/12/1991, $8.72 , $8.69 , $8.77 , $8.65 ,"212,500"
6/12/1991, $8.64 , $8.67 , $8.74 , $8.60 ,"365,000"
9/12/1991, $8.70 , $8.64 , $8.72 , $8.59 ,"338,100"
10/12/1991, $8.56 , $8.60 , $8.65 , $8.56 ,"276,700"
11/12/1991, $8.59 , $8.58 , $8.62 , $8.51 ,"422,000"
12/12/1991, $8.63 , $8.74 , $8.76 , $8.60 ,"423,600"
13/12/1991, $8.81 , $8.89 , $8.93 , $8.78 ,"411,000"
16/12/1991, $8.89 , $8.97 , $9.03 , $8.87 ,"344,600"
17/12/1991, $8.98 , $8.87 , $9.02 , $8.87 ,"322,500"
18/12/1991, $8.87 , $9.00 , $9.01 , $8.82 ,"309,200"
19/12/1991, $8.96 , $8.93 , $9.00 , $8.88 ,"246,400"
20/12/1991, $9.05 , $8.71 , $9.06 , $8.71 ,"994,000"
23/12/1991, $8.73 , $9.02 , $9.02 , $8.68 ,"662,000"
