Date,Open,Close,High,Low,Volume
27/3/2014, $28.32 , $27.85 , $28.32 , $27.57 ,"13,052"
28/3/2014, $27.98 , $27.92 , $28.24 , $27.86 ,"41,003"
31/3/2014, $28.27 , $27.77 , $28.27 , $27.77 ,"10,772"
1/4/2014, $27.86 , $28.28 , $28.34 , $27.86 ,"7,932"
2/4/2014, $29.92 , $28.27 , $30.16 , $28.03 ,"146,697"
3/4/2014, $28.41 , $28.41 , $29.28 , $28.13 ,"5,087,530"
4/4/2014, $28.65 , $27.08 , $28.81 , $27.08 ,"6,377,658"
7/4/2014, $26.96 , $26.83 , $27.35 , $26.29 ,"4,389,569"
8/4/2014, $27.06 , $27.67 , $27.67 , $27.01 ,"3,152,406"
9/4/2014, $27.90 , $28.13 , $28.19 , $27.57 ,"3,324,742"
10/4/2014, $28.17 , $26.97 , $28.17 , $26.92 ,"4,027,743"
11/4/2014, $26.55 , $26.46 , $26.93 , $26.25 ,"3,916,171"
14/4/2014, $26.84 , $26.55 , $27.13 , $26.41 ,"2,568,020"
15/4/2014, $26.77 , $26.75 , $26.85 , $25.85 ,"3,847,453"
16/4/2014, $27.08 , $27.75 , $27.77 , $26.93 ,"4,879,889"
17/4/2014, $27.37 , $26.73 , $27.40 , $26.48 ,"6,795,393"
21/4/2014, $26.73 , $26.36 , $26.76 , $26.21 ,"2,561,214"
22/4/2014, $26.36 , $26.67 , $26.79 , $26.30 ,"2,359,421"
23/4/2014, $26.62 , $26.27 , $26.62 , $26.24 ,"2,051,066"
24/4/2014, $26.43 , $26.19 , $26.51 , $26.03 ,"1,881,965"
25/4/2014, $26.05 , $25.74 , $26.16 , $25.70 ,"2,097,264"
28/4/2014, $25.79 , $25.79 , $25.86 , $25.07 ,"3,326,429"
29/4/2014, $25.77 , $26.31 , $26.40 , $25.75 ,"2,692,489"
30/4/2014, $26.31 , $26.26 , $26.33 , $26.05 ,"1,746,904"
1/5/2014, $26.28 , $26.49 , $26.57 , $26.12 ,"1,900,432"
2/5/2014, $26.61 , $26.32 , $26.63 , $26.21 ,"1,685,042"
5/5/2014, $26.17 , $26.32 , $26.37 , $25.99 ,"1,021,408"
6/5/2014, $26.19 , $25.69 , $26.27 , $25.68 ,"1,684,381"
7/5/2014, $25.72 , $25.43 , $25.76 , $25.10 ,"3,216,077"
