Date,Open,Close,High,Low,Volume
25/5/2006, $4.03 , $4.60 , $4.61 , $4.02 ,"39,534,300"
26/5/2006, $4.63 , $4.49 , $4.67 , $4.41 ,"10,222,000"
30/5/2006, $4.50 , $4.40 , $4.50 , $4.29 ,"4,989,800"
31/5/2006, $4.44 , $4.49 , $4.54 , $4.44 ,"3,000,200"
1/6/2006, $4.49 , $4.75 , $4.81 , $4.49 ,"6,234,400"
2/6/2006, $4.85 , $4.70 , $4.87 , $4.68 ,"3,725,300"
5/6/2006, $4.71 , $4.92 , $4.93 , $4.70 ,"3,718,800"
6/6/2006, $5.00 , $4.83 , $5.06 , $4.78 ,"4,904,500"
7/6/2006, $4.83 , $4.76 , $4.84 , $4.68 ,"2,501,300"
8/6/2006, $4.76 , $4.77 , $4.77 , $4.55 ,"3,443,900"
9/6/2006, $4.88 , $4.78 , $4.88 , $4.77 ,"1,337,200"
12/6/2006, $4.80 , $4.70 , $4.83 , $4.63 ,"1,454,600"
13/6/2006, $4.62 , $4.55 , $4.74 , $4.53 ,"1,651,000"
14/6/2006, $4.49 , $4.51 , $4.55 , $4.44 ,"1,597,100"
15/6/2006, $4.54 , $4.60 , $4.61 , $4.51 ,"1,650,000"
16/6/2006, $4.55 , $4.50 , $4.60 , $4.50 ,"1,228,000"
19/6/2006, $4.55 , $4.43 , $4.55 , $4.41 ,"1,150,900"
20/6/2006, $4.47 , $4.40 , $4.50 , $4.35 ,"2,379,200"
21/6/2006, $4.40 , $4.53 , $4.59 , $4.40 ,"1,806,300"
22/6/2006, $4.64 , $4.66 , $4.70 , $4.59 ,"1,303,800"
23/6/2006, $4.70 , $4.70 , $4.79 , $4.69 ,"1,161,200"
26/6/2006, $4.70 , $4.75 , $4.75 , $4.64 ,"856,500"
27/6/2006, $4.75 , $4.73 , $4.80 , $4.73 ,"982,700"
28/6/2006, $4.69 , $4.70 , $4.74 , $4.65 ,"875,600"
29/6/2006, $4.70 , $4.80 , $4.81 , $4.70 ,"1,447,100"
30/6/2006, $4.77 , $4.80 , $4.80 , $4.66 ,"2,596,400"
3/7/2006, $4.79 , $4.73 , $4.80 , $4.68 ,"702,900"
5/7/2006, $4.74 , $4.76 , $4.78 , $4.67 ,"1,326,600"
6/7/2006, $4.73 , $4.68 , $4.74 , $4.68 ,"809,700"
7/7/2006, $4.68 , $4.61 , $4.69 , $4.58 ,"838,000"
10/7/2006, $4.62 , $4.65 , $4.66 , $4.61 ,"497,800"
11/7/2006, $4.65 , $4.64 , $4.65 , $4.53 ,"807,900"
12/7/2006, $4.64 , $4.56 , $4.64 , $4.55 ,"767,200"
13/7/2006, $4.52 , $4.47 , $4.52 , $4.43 ,"1,662,500"
14/7/2006, $4.46 , $4.40 , $4.47 , $4.39 ,"966,300"
17/7/2006, $4.39 , $4.40 , $4.42 , $4.38 ,"645,800"
18/7/2006, $4.40 , $4.39 , $4.41 , $4.37 ,"1,248,300"
19/7/2006, $4.39 , $4.53 , $4.55 , $4.38 ,"1,584,000"
20/7/2006, $4.54 , $4.56 , $4.58 , $4.51 ,"882,900"
21/7/2006, $4.56 , $4.53 , $4.56 , $4.48 ,"851,100"
24/7/2006, $4.55 , $4.50 , $4.55 , $4.50 ,"501,700"
25/7/2006, $4.52 , $4.61 , $4.64 , $4.52 ,"690,000"
26/7/2006, $4.61 , $4.67 , $4.79 , $4.58 ,"1,033,800"
27/7/2006, $4.69 , $4.65 , $4.72 , $4.65 ,"600,900"
28/7/2006, $4.65 , $4.63 , $4.68 , $4.63 ,"433,900"
31/7/2006, $4.63 , $4.59 , $4.64 , $4.59 ,"461,700"
1/8/2006, $4.59 , $4.50 , $4.59 , $4.47 ,"740,400"
2/8/2006, $4.80 , $5.00 , $5.01 , $4.73 ,"5,337,400"
3/8/2006, $4.91 , $5.00 , $5.02 , $4.87 ,"2,169,000"
4/8/2006, $5.03 , $5.01 , $5.15 , $5.00 ,"1,421,600"
7/8/2006, $5.05 , $5.11 , $5.13 , $5.03 ,"691,800"
8/8/2006, $5.11 , $5.26 , $5.27 , $5.11 ,"1,407,300"
9/8/2006, $5.30 , $5.29 , $5.45 , $5.20 ,"1,504,300"
10/8/2006, $5.22 , $5.36 , $5.39 , $5.21 ,"872,500"
11/8/2006, $5.35 , $5.37 , $5.45 , $5.33 ,"907,800"
14/8/2006, $5.38 , $5.42 , $5.45 , $5.35 ,"631,400"
15/8/2006, $5.47 , $5.45 , $5.49 , $5.43 ,"856,100"
16/8/2006, $5.47 , $5.43 , $5.54 , $5.42 ,"1,534,400"
17/8/2006, $5.42 , $5.35 , $5.42 , $5.32 ,"1,021,700"
18/8/2006, $5.31 , $5.35 , $5.37 , $5.25 ,"934,300"
21/8/2006, $5.33 , $5.43 , $5.56 , $5.28 ,"1,248,700"
22/8/2006, $5.42 , $5.52 , $5.55 , $5.42 ,"976,100"
23/8/2006, $5.55 , $5.46 , $5.58 , $5.45 ,"1,043,900"
24/8/2006, $5.49 , $5.57 , $5.59 , $5.48 ,"542,000"
25/8/2006, $5.58 , $5.50 , $5.59 , $5.49 ,"801,600"
28/8/2006, $5.49 , $5.50 , $5.55 , $5.48 ,"374,800"
29/8/2006, $5.53 , $5.54 , $5.57 , $5.52 ,"321,400"
30/8/2006, $5.55 , $5.53 , $5.58 , $5.52 ,"580,100"
31/8/2006, $5.53 , $5.59 , $5.62 , $5.53 ,"702,300"
1/9/2006, $5.60 , $5.66 , $5.75 , $5.60 ,"2,055,900"
