Date,Open,Close,High,Low,Volume
11/11/1991, $8.91 , $8.88 , $9.00 , $8.84 ,"549,800"
12/11/1991, $8.91 , $8.88 , $8.91 , $8.78 ,"798,700"
13/11/1991, $8.88 , $8.88 , $8.91 , $8.81 ,"723,800"
14/11/1991, $8.94 , $8.91 , $8.97 , $8.84 ,"525,000"
15/11/1991, $8.91 , $8.53 , $8.91 , $8.53 ,"739,500"
18/11/1991, $8.56 , $8.75 , $8.75 , $8.44 ,"1,254,600"
19/11/1991, $8.66 , $8.59 , $8.66 , $8.47 ,"926,600"
20/11/1991, $8.72 , $8.41 , $8.72 , $8.41 ,"941,100"
21/11/1991, $8.41 , $8.53 , $8.56 , $8.38 ,"599,400"
22/11/1991, $8.53 , $8.44 , $8.53 , $8.31 ,"520,200"
25/11/1991, $8.38 , $8.44 , $8.44 , $8.22 ,"591,200"
26/11/1991, $8.50 , $8.53 , $8.56 , $8.41 ,"631,300"
27/11/1991, $8.47 , $8.47 , $8.53 , $8.44 ,"336,400"
29/11/1991, $8.41 , $8.41 , $8.47 , $8.41 ,"274,800"
2/12/1991, $8.34 , $8.56 , $8.59 , $8.28 ,"517,400"
3/12/1991, $8.50 , $8.47 , $8.56 , $8.41 ,"596,000"
4/12/1991, $8.53 , $8.47 , $8.53 , $8.41 ,"580,200"
5/12/1991, $8.41 , $8.41 , $8.44 , $8.31 ,"436,500"
6/12/1991, $8.41 , $8.59 , $8.63 , $8.38 ,"501,000"
9/12/1991, $8.56 , $8.66 , $8.69 , $8.50 ,"528,800"
10/12/1991, $8.59 , $8.69 , $8.75 , $8.59 ,"493,600"
11/12/1991, $8.75 , $8.56 , $8.75 , $8.53 ,"473,600"
12/12/1991, $8.59 , $8.66 , $8.69 , $8.59 ,"448,800"
13/12/1991, $8.75 , $8.75 , $8.81 , $8.69 ,"824,300"
16/12/1991, $8.88 , $8.97 , $9.03 , $8.63 ,"1,037,400"
17/12/1991, $9.03 , $9.03 , $9.09 , $8.97 ,"835,300"
18/12/1991, $9.06 , $9.09 , $9.13 , $9.00 ,"672,100"
19/12/1991, $9.06 , $9.16 , $9.19 , $9.03 ,"1,287,800"
20/12/1991, $9.31 , $9.31 , $9.34 , $9.19 ,"1,797,900"
23/12/1991, $9.25 , $9.47 , $9.59 , $9.22 ,"978,800"
24/12/1991, $9.53 , $9.81 , $9.97 , $9.50 ,"1,528,500"
26/12/1991, $9.63 , $9.88 , $9.88 , $9.63 ,"656,100"
