Date,Open,Close,High,Low,Volume
13/3/1986, $0.10 , $0.10 , $0.10 , $0.09 ,"3,582,600"
14/3/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"1,070,000"
17/3/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"462,400"
18/3/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"230,800"
19/3/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"166,300"
20/3/1986, $0.10 , $0.10 , $0.10 , $0.09 ,"202,900"
21/3/1986, $0.09 , $0.09 , $0.10 , $0.09 ,"208,300"
24/3/1986, $0.09 , $0.09 , $0.09 , $0.09 ,"226,700"
25/3/1986, $0.09 , $0.09 , $0.09 , $0.09 ,"111,400"
26/3/1986, $0.09 , $0.09 , $0.10 , $0.09 ,"79,000"
27/3/1986, $0.10 , $0.10 , $0.10 , $0.09 ,"58,500"
31/3/1986, $0.10 , $0.10 , $0.10 , $0.09 ,"44,700"
1/4/1986, $0.09 , $0.09 , $0.10 , $0.09 ,"38,500"
2/4/1986, $0.10 , $0.10 , $0.10 , $0.09 ,"93,800"
3/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"80,000"
4/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"92,300"
7/4/1986, $0.09 , $0.09 , $0.10 , $0.09 ,"57,500"
8/4/1986, $0.10 , $0.10 , $0.10 , $0.09 ,"35,600"
9/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"42,200"
10/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"48,200"
11/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"59,800"
14/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"42,200"
15/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"32,300"
16/4/1986, $0.10 , $0.10 , $0.11 , $0.10 ,"110,800"
17/4/1986, $0.11 , $0.11 , $0.11 , $0.10 ,"76,400"
18/4/1986, $0.10 , $0.10 , $0.11 , $0.10 ,"75,100"
21/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"79,600"
22/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"54,000"
23/4/1986, $0.10 , $0.10 , $0.10 , $0.10 ,"54,200"
24/4/1986, $0.11 , $0.11 , $0.11 , $0.10 ,"216,100"
25/4/1986, $0.12 , $0.12 , $0.12 , $0.11 ,"296,700"
28/4/1986, $0.12 , $0.12 , $0.12 , $0.12 ,"100,300"
29/4/1986, $0.12 , $0.11 , $0.12 , $0.11 ,"105,300"
30/4/1986, $0.12 , $0.11 , $0.12 , $0.11 ,"104,300"
1/5/1986, $0.11 , $0.11 , $0.11 , $0.11 ,"188,700"
2/5/1986, $0.11 , $0.11 , $0.11 , $0.11 ,"70,300"
