Date,Open,Close,High,Low,Volume
23/5/2002, $1.16 , $1.20 , $1.24 , $1.15 ,"7,485,000"
24/5/2002, $1.21 , $1.21 , $1.23 , $1.20 ,"793,200"
28/5/2002, $1.21 , $1.16 , $1.23 , $1.16 ,"472,100"
29/5/2002, $1.16 , $1.10 , $1.16 , $1.09 ,"482,700"
30/5/2002, $1.11 , $1.07 , $1.11 , $1.07 ,"725,300"
31/5/2002, $1.08 , $1.08 , $1.08 , $1.07 ,"604,600"
3/6/2002, $1.08 , $1.13 , $1.15 , $1.08 ,"225,100"
4/6/2002, $1.14 , $1.12 , $1.14 , $1.11 ,"221,800"
5/6/2002, $1.11 , $1.15 , $1.16 , $1.11 ,"109,400"
6/6/2002, $1.15 , $1.18 , $1.23 , $1.15 ,"164,700"
7/6/2002, $1.18 , $1.12 , $1.18 , $1.10 ,"97,800"
10/6/2002, $1.14 , $1.16 , $1.18 , $1.13 ,"34,600"
11/6/2002, $1.16 , $1.15 , $1.19 , $1.13 ,"71,700"
12/6/2002, $1.15 , $1.09 , $1.18 , $1.09 ,"128,500"
13/6/2002, $1.10 , $1.08 , $1.12 , $1.08 ,"183,400"
14/6/2002, $1.08 , $0.99 , $1.09 , $0.98 ,"341,700"
17/6/2002, $1.01 , $0.92 , $1.06 , $0.92 ,"346,800"
18/6/2002, $0.94 , $0.91 , $0.94 , $0.84 ,"772,000"
19/6/2002, $0.91 , $0.95 , $1.00 , $0.89 ,"391,600"
20/6/2002, $0.97 , $0.96 , $1.04 , $0.95 ,"436,500"
21/6/2002, $0.98 , $0.98 , $0.99 , $0.95 ,"167,600"
24/6/2002, $0.98 , $0.98 , $1.01 , $0.96 ,"183,400"
25/6/2002, $0.99 , $0.96 , $1.01 , $0.95 ,"281,500"
26/6/2002, $0.96 , $0.99 , $1.00 , $0.92 ,"208,900"
27/6/2002, $1.01 , $0.94 , $1.02 , $0.94 ,"272,700"
28/6/2002, $0.96 , $1.00 , $1.01 , $0.96 ,"717,500"
1/7/2002, $1.00 , $1.03 , $1.05 , $0.99 ,"327,500"
2/7/2002, $1.05 , $1.17 , $1.20 , $1.04 ,"644,300"
3/7/2002, $1.18 , $1.21 , $1.21 , $1.12 ,"354,100"
5/7/2002, $1.21 , $1.28 , $1.30 , $1.21 ,"143,100"
8/7/2002, $1.25 , $1.18 , $1.25 , $1.17 ,"139,500"
9/7/2002, $1.18 , $1.16 , $1.20 , $1.11 ,"209,700"
10/7/2002, $1.16 , $1.16 , $1.18 , $1.13 ,"111,000"
11/7/2002, $1.15 , $1.27 , $1.28 , $1.13 ,"180,700"
12/7/2002, $1.28 , $1.21 , $1.28 , $1.21 ,"202,700"
15/7/2002, $1.24 , $1.14 , $1.25 , $1.08 ,"302,800"
16/7/2002, $1.15 , $1.13 , $1.16 , $1.10 ,"138,700"
17/7/2002, $1.15 , $1.09 , $1.16 , $1.08 ,"90,300"
18/7/2002, $1.12 , $1.15 , $1.17 , $1.11 ,"207,100"
19/7/2002, $1.15 , $1.16 , $1.16 , $1.12 ,"128,000"
22/7/2002, $1.14 , $1.17 , $1.18 , $1.12 ,"142,430"
23/7/2002, $1.18 , $1.15 , $1.21 , $1.13 ,"112,700"
24/7/2002, $1.15 , $1.11 , $1.16 , $1.07 ,"239,913"
25/7/2002, $1.13 , $1.04 , $1.13 , $1.04 ,"339,783"
26/7/2002, $1.05 , $0.87 , $1.06 , $0.85 ,"503,402"
29/7/2002, $0.90 , $0.88 , $0.92 , $0.85 ,"233,020"
30/7/2002, $0.89 , $0.91 , $0.94 , $0.89 ,"269,800"
31/7/2002, $0.93 , $0.95 , $0.96 , $0.91 ,"238,100"
1/8/2002, $0.95 , $0.89 , $0.96 , $0.88 ,"323,500"
