Date,Open,Close,High,Low,Volume
22/1/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"2,714,686,642"
25/1/1999, $0.04 , $0.05 , $0.05 , $0.04 ,"510,479,744"
26/1/1999, $0.05 , $0.04 , $0.05 , $0.04 ,"343,199,828"
27/1/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"244,367,877"
28/1/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"227,519,886"
29/1/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"244,031,877"
1/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"154,703,922"
2/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"264,095,867"
3/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"75,119,962"
4/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"181,919,909"
5/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"136,847,931"
8/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"154,079,922"
9/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"86,975,956"
10/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"148,223,925"
11/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"132,239,933"
12/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"109,727,945"
16/2/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"211,007,894"
17/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"67,727,966"
18/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"70,703,964"
19/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"75,359,962"
22/2/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"205,247,897"
23/2/1999, $0.04 , $0.05 , $0.05 , $0.04 ,"138,095,930"
24/2/1999, $0.05 , $0.05 , $0.05 , $0.05 ,"612,767,693"
25/2/1999, $0.05 , $0.05 , $0.05 , $0.05 ,"149,135,925"
26/2/1999, $0.05 , $0.05 , $0.05 , $0.05 ,"172,607,913"
1/3/1999, $0.05 , $0.05 , $0.05 , $0.04 ,"92,159,953"
2/3/1999, $0.05 , $0.05 , $0.05 , $0.04 ,"55,247,972"
3/3/1999, $0.05 , $0.04 , $0.05 , $0.04 ,"61,391,969"
4/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"57,359,971"
5/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"78,767,960"
8/3/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"75,887,962"
9/3/1999, $0.04 , $0.05 , $0.05 , $0.04 ,"143,183,928"
10/3/1999, $0.05 , $0.05 , $0.05 , $0.04 ,"235,343,882"
11/3/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"54,287,972"
12/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"90,767,954"
15/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"108,815,945"
16/3/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"79,151,960"
17/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"51,359,974"
18/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"46,319,976"
19/3/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"105,311,947"
22/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"36,671,981"
23/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"163,967,918"
24/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"60,863,969"
25/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"40,319,979"
26/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"88,271,955"
29/3/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"65,951,967"
30/3/1999, $0.05 , $0.04 , $0.05 , $0.04 ,"69,503,965"
31/3/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"153,599,923"
1/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"30,431,984"
5/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"98,639,950"
6/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"69,695,965"
7/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"89,279,955"
8/4/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"130,127,934"
9/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"48,623,975"
12/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"33,311,983"
13/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"36,143,981"
14/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"48,287,975"
15/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"35,855,982"
16/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"38,927,980"
19/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"31,295,984"
20/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"67,679,966"
21/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"37,487,981"
22/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"227,183,886"
23/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"126,047,936"
26/4/1999, $0.04 , $0.03 , $0.04 , $0.03 ,"123,503,938"
27/4/1999, $0.03 , $0.04 , $0.04 , $0.03 ,"226,943,886"
28/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"120,095,939"
29/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"48,143,975"
30/4/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"99,311,950"
3/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"33,839,983"
4/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"96,047,951"
5/5/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"144,575,927"
6/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"35,615,982"
7/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"25,007,987"
10/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"19,679,990"
11/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"171,743,914"
12/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"168,479,915"
13/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"69,935,965"
14/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"28,463,985"
17/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"35,759,982"
18/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"151,535,924"
19/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"451,727,774"
20/5/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"178,175,910"
21/5/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"303,503,848"
24/5/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"162,623,918"
25/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"130,079,934"
26/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"104,735,947"
27/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"82,319,958"
28/5/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"88,655,955"
1/6/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"98,543,950"
2/6/1999, $0.04 , $0.03 , $0.04 , $0.03 ,"130,127,934"
3/6/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"41,567,979"
4/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"78,911,960"
7/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"125,135,937"
8/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"153,311,923"
9/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"95,183,952"
10/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"36,095,981"
11/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"61,007,969"
14/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"51,647,974"
15/6/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"49,295,975"
16/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"64,415,967"
17/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"74,927,962"
18/6/1999, $0.04 , $0.03 , $0.04 , $0.03 ,"158,735,920"
21/6/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"83,471,958"
22/6/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"193,055,903"
23/6/1999, $0.03 , $0.04 , $0.04 , $0.03 ,"210,911,894"
24/6/1999, $0.04 , $0.04 , $0.04 , $0.03 ,"115,199,942"
25/6/1999, $0.03 , $0.04 , $0.04 , $0.03 ,"73,535,963"
28/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"109,151,945"
29/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"92,687,953"
30/6/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"269,231,865"
1/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"88,991,955"
2/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"224,879,887"
6/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"198,095,900"
7/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"63,119,968"
8/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"186,047,906"
9/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"211,727,894"
12/7/1999, $0.05 , $0.05 , $0.05 , $0.05 ,"401,039,799"
13/7/1999, $0.05 , $0.05 , $0.05 , $0.04 ,"138,863,930"
14/7/1999, $0.05 , $0.04 , $0.05 , $0.04 ,"137,951,931"
15/7/1999, $0.04 , $0.04 , $0.05 , $0.04 ,"137,039,931"
16/7/1999, $0.05 , $0.05 , $0.05 , $0.04 ,"103,871,948"
19/7/1999, $0.05 , $0.04 , $0.05 , $0.04 ,"43,631,978"
20/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"178,751,910"
21/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"112,079,943"
22/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"213,263,893"
23/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"80,255,959"
26/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"61,535,969"
27/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"98,591,950"
28/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"244,223,877"
29/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"388,799,805"
30/7/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"452,303,773"
2/8/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"313,343,843"
3/8/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"255,215,872"
4/8/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"89,951,955"
5/8/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"240,575,879"
6/8/1999, $0.04 , $0.04 , $0.04 , $0.04 ,"183,983,908"
