Date,Open,Close,High,Low,Volume
17/3/1980, $1.16 , $1.16 , $1.17 , $1.16 ,"53,900"
18/3/1980, $1.15 , $1.15 , $1.17 , $1.14 ,"122,400"
19/3/1980, $1.15 , $1.15 , $1.16 , $1.15 ,"57,600"
20/3/1980, $1.15 , $1.15 , $1.15 , $1.14 ,"86,100"
21/3/1980, $1.17 , $1.17 , $1.18 , $1.15 ,"97,500"
24/3/1980, $1.13 , $1.13 , $1.17 , $1.12 ,"349,600"
25/3/1980, $1.13 , $1.13 , $1.13 , $1.12 ,"96,200"
26/3/1980, $1.11 , $1.11 , $1.15 , $1.11 ,"152,500"
27/3/1980, $1.13 , $1.13 , $1.13 , $1.11 ,"105,500"
28/3/1980, $1.22 , $1.22 , $1.22 , $1.17 ,"134,400"
31/3/1980, $1.28 , $1.28 , $1.28 , $1.24 ,"128,400"
1/4/1980, $1.29 , $1.29 , $1.29 , $1.27 ,"173,300"
2/4/1980, $1.31 , $1.31 , $1.32 , $1.28 ,"101,200"
3/4/1980, $1.30 , $1.30 , $1.31 , $1.29 ,"38,800"
7/4/1980, $1.24 , $1.24 , $1.31 , $1.23 ,"102,000"
8/4/1980, $1.26 , $1.26 , $1.26 , $1.22 ,"59,900"
9/4/1980, $1.27 , $1.27 , $1.28 , $1.26 ,"98,300"
10/4/1980, $1.28 , $1.28 , $1.28 , $1.24 ,"36,300"
11/4/1980, $1.26 , $1.26 , $1.28 , $1.26 ,"61,500"
14/4/1980, $1.22 , $1.22 , $1.26 , $1.22 ,"58,900"
15/4/1980, $1.21 , $1.21 , $1.23 , $1.19 ,"31,700"
16/4/1980, $1.21 , $1.21 , $1.23 , $1.20 ,"45,300"
17/4/1980, $1.20 , $1.20 , $1.21 , $1.20 ,"32,400"
18/4/1980, $1.19 , $1.19 , $1.22 , $1.19 ,"64,300"
21/4/1980, $1.19 , $1.19 , $1.22 , $1.19 ,"25,800"
22/4/1980, $1.23 , $1.23 , $1.24 , $1.19 ,"188,100"
23/4/1980, $1.25 , $1.25 , $1.25 , $1.22 ,"62,000"
24/4/1980, $1.31 , $1.31 , $1.32 , $1.25 ,"115,100"
25/4/1980, $1.31 , $1.31 , $1.31 , $1.25 ,"76,300"
28/4/1980, $1.32 , $1.32 , $1.32 , $1.31 ,"41,500"
29/4/1980, $1.30 , $1.30 , $1.33 , $1.30 ,"60,500"
30/4/1980, $1.30 , $1.30 , $1.33 , $1.26 ,"38,800"
1/5/1980, $1.31 , $1.31 , $1.33 , $1.29 ,"46,500"
2/5/1980, $1.36 , $1.36 , $1.36 , $1.31 ,"107,800"
5/5/1980, $1.37 , $1.37 , $1.37 , $1.34 ,"125,400"
6/5/1980, $1.38 , $1.38 , $1.39 , $1.36 ,"238,600"
7/5/1980, $1.38 , $1.38 , $1.39 , $1.35 ,"207,100"
8/5/1980, $1.38 , $1.38 , $1.38 , $1.37 ,"92,600"
9/5/1980, $1.38 , $1.38 , $1.38 , $1.36 ,"118,100"
12/5/1980, $1.35 , $1.35 , $1.38 , $1.35 ,"43,500"
13/5/1980, $1.40 , $1.40 , $1.40 , $1.36 ,"301,400"
14/5/1980, $1.42 , $1.42 , $1.43 , $1.40 ,"196,900"
15/5/1980, $1.44 , $1.44 , $1.44 , $1.42 ,"194,800"
16/5/1980, $1.44 , $1.44 , $1.46 , $1.44 ,"77,300"
19/5/1980, $1.45 , $1.45 , $1.47 , $1.44 ,"82,000"
20/5/1980, $1.43 , $1.43 , $1.45 , $1.42 ,"76,100"
21/5/1980, $1.40 , $1.40 , $1.42 , $1.38 ,"120,400"
22/5/1980, $1.40 , $1.40 , $1.41 , $1.39 ,"55,700"
23/5/1980, $1.42 , $1.42 , $1.44 , $1.40 ,"198,200"
27/5/1980, $1.43 , $1.43 , $1.44 , $1.42 ,"51,000"
28/5/1980, $1.42 , $1.42 , $1.42 , $1.40 ,"124,500"
29/5/1980, $1.39 , $1.39 , $1.42 , $1.39 ,"238,000"
30/5/1980, $1.42 , $1.42 , $1.43 , $1.37 ,"80,100"
2/6/1980, $1.42 , $1.42 , $1.43 , $1.41 ,"45,300"
3/6/1980, $1.41 , $1.41 , $1.42 , $1.40 ,"123,400"
4/6/1980, $1.43 , $1.43 , $1.43 , $1.41 ,"45,100"
5/6/1980, $1.44 , $1.44 , $1.45 , $1.42 ,"128,500"
6/6/1980, $1.44 , $1.44 , $1.44 , $1.42 ,"103,400"
9/6/1980, $1.42 , $1.42 , $1.43 , $1.42 ,"45,100"
10/6/1980, $1.44 , $1.44 , $1.44 , $1.42 ,"53,400"
11/6/1980, $1.42 , $1.42 , $1.43 , $1.39 ,"168,500"
12/6/1980, $1.40 , $1.40 , $1.44 , $1.40 ,"82,200"
13/6/1980, $1.40 , $1.40 , $1.42 , $1.39 ,"44,400"
16/6/1980, $1.43 , $1.43 , $1.44 , $1.40 ,"49,400"
17/6/1980, $1.42 , $1.42 , $1.44 , $1.41 ,"78,400"
18/6/1980, $1.42 , $1.42 , $1.43 , $1.41 ,"55,300"
19/6/1980, $1.40 , $1.40 , $1.42 , $1.40 ,"70,500"
20/6/1980, $1.36 , $1.36 , $1.40 , $1.36 ,"92,900"
23/6/1980, $1.33 , $1.33 , $1.35 , $1.33 ,"228,000"
24/6/1980, $1.35 , $1.35 , $1.35 , $1.32 ,"83,100"
25/6/1980, $1.37 , $1.37 , $1.38 , $1.35 ,"106,200"
26/6/1980, $1.36 , $1.36 , $1.39 , $1.33 ,"117,500"
27/6/1980, $1.35 , $1.35 , $1.37 , $1.35 ,"109,800"
30/6/1980, $1.34 , $1.34 , $1.36 , $1.33 ,"55,400"
1/7/1980, $1.34 , $1.34 , $1.35 , $1.33 ,"60,600"
2/7/1980, $1.36 , $1.36 , $1.38 , $1.34 ,"95,300"
3/7/1980, $1.37 , $1.37 , $1.38 , $1.35 ,"98,100"
7/7/1980, $1.41 , $1.41 , $1.41 , $1.38 ,"63,300"
8/7/1980, $1.44 , $1.44 , $1.44 , $1.40 ,"166,900"
9/7/1980, $1.43 , $1.43 , $1.44 , $1.42 ,"74,800"
10/7/1980, $1.42 , $1.42 , $1.42 , $1.39 ,"128,900"
11/7/1980, $1.40 , $1.40 , $1.41 , $1.39 ,"192,000"
14/7/1980, $1.39 , $1.39 , $1.40 , $1.38 ,"166,600"
15/7/1980, $1.38 , $1.38 , $1.40 , $1.38 ,"279,300"
16/7/1980, $1.38 , $1.38 , $1.38 , $1.37 ,"136,400"
17/7/1980, $1.38 , $1.38 , $1.38 , $1.37 ,"71,300"
18/7/1980, $1.38 , $1.38 , $1.40 , $1.36 ,"598,500"
21/7/1980, $1.33 , $1.33 , $1.36 , $1.33 ,"523,500"
22/7/1980, $1.35 , $1.35 , $1.37 , $1.34 ,"457,100"
23/7/1980, $1.35 , $1.35 , $1.35 , $1.33 ,"361,700"
24/7/1980, $1.39 , $1.39 , $1.40 , $1.35 ,"262,800"
25/7/1980, $1.41 , $1.41 , $1.41 , $1.38 ,"141,300"
28/7/1980, $1.44 , $1.44 , $1.45 , $1.40 ,"113,200"
