Date,Open,Close,High,Low,Volume
9/11/2004," 1,486.98 "," 1,487.32 "," 1,493.57 "," 1,483.51 ","5,221,611"
10/11/2004," 1,496.03 "," 1,500.57 "," 1,506.50 "," 1,492.19 ","7,610,283"
11/11/2004," 1,510.76 "," 1,514.26 "," 1,519.17 "," 1,507.26 ","5,985,619"
12/11/2004," 1,511.34 "," 1,507.85 "," 1,512.39 "," 1,499.46 ","5,246,482"
15/11/2004," 1,518.02 "," 1,503.65 "," 1,523.27 "," 1,501.89 ","5,767,824"
16/11/2004," 1,499.22 "," 1,495.37 "," 1,502.02 "," 1,489.08 ","5,417,577"
17/11/2004," 1,497.05 "," 1,506.51 "," 1,507.21 "," 1,491.79 ","5,395,494"
18/11/2004," 1,503.68 "," 1,499.13 "," 1,507.88 "," 1,499.13 ","5,080,279"
19/11/2004," 1,506.02 "," 1,506.72 "," 1,517.23 "," 1,500.76 ","6,879,317"
22/11/2004," 1,507.37 "," 1,498.95 "," 1,507.37 "," 1,491.94 ","4,653,576"
23/11/2004," 1,504.67 "," 1,498.02 "," 1,507.13 "," 1,497.67 ","4,466,958"
24/11/2004," 1,503.76 "," 1,490.80 "," 1,503.76 "," 1,490.80 ","4,307,036"
25/11/2004," 1,497.40 "," 1,520.52 "," 1,525.07 "," 1,495.29 ","8,309,973"
26/11/2004," 1,516.35 "," 1,525.11 "," 1,525.11 "," 1,512.49 ","4,540,097"
29/11/2004," 1,521.44 "," 1,515.13 "," 1,530.20 "," 1,511.98 ","4,819,709"
30/11/2004," 1,504.15 "," 1,498.59 "," 1,507.63 "," 1,494.76 ","5,447,451"
1/12/2004," 1,485.53 "," 1,494.49 "," 1,499.66 "," 1,481.39 ","6,454,126"
2/12/2004," 1,484.97 "," 1,475.66 "," 1,486.35 "," 1,471.87 ","9,045,019"
3/12/2004," 1,486.98 "," 1,481.44 "," 1,493.55 "," 1,469.67 ","9,195,606"
6/12/2004," 1,469.62 "," 1,469.28 "," 1,474.12 "," 1,465.82 ","3,851,219"
7/12/2004," 1,466.73 "," 1,465.35 "," 1,472.94 "," 1,462.93 ","5,545,109"
8/12/2004," 1,453.94 "," 1,461.18 "," 1,461.53 "," 1,449.12 ","6,698,971"
9/12/2004," 1,456.34 "," 1,460.14 "," 1,468.08 "," 1,456.34 ","5,445,735"
10/12/2004," 1,463.78 "," 1,462.75 "," 1,472.06 "," 1,455.15 ","5,688,703"
13/12/2004," 1,461.75 "," 1,471.09 "," 1,471.09 "," 1,457.26 ","6,140,405"
14/12/2004," 1,469.75 "," 1,466.65 "," 1,473.54 "," 1,458.72 ","4,578,093"
15/12/2004," 1,465.80 "," 1,458.56 "," 1,469.93 "," 1,454.42 ","6,586,610"
16/12/2004," 1,450.52 "," 1,445.38 "," 1,452.92 "," 1,439.89 ","7,046,485"
17/12/2004," 1,444.32 "," 1,431.65 "," 1,446.04 "," 1,431.31 ","10,466,080"
20/12/2004," 1,437.92 "," 1,440.33 "," 1,451.68 "," 1,437.92 ","5,616,249"
21/12/2004," 1,453.29 "," 1,453.29 "," 1,460.92 "," 1,448.44 ","4,085,584"
22/12/2004," 1,471.82 "," 1,466.57 "," 1,484.75 "," 1,466.57 ","6,775,542"
23/12/2004," 1,472.59 "," 1,481.36 "," 1,481.36 "," 1,471.18 ","3,499,897"
24/12/2004," 1,481.15 "," 1,482.21 "," 1,485.37 "," 1,478.69 ","551,709"
27/12/2004," 1,485.37 "," 1,478.34 "," 1,493.46 "," 1,478.34 ","2,509,674"
28/12/2004," 1,482.18 "," 1,489.59 "," 1,489.59 "," 1,477.24 ","2,286,956"
29/12/2004," 1,495.91 "," 1,489.88 "," 1,499.46 "," 1,488.11 ","2,809,491"
30/12/2004," 1,489.85 "," 1,490.21 "," 1,497.28 "," 1,487.73 ","2,769,573"
31/12/2004," 1,490.85 "," 1,496.86 "," 1,496.86 "," 1,486.61 ","556,324"
3/1/2005," 1,496.65 "," 1,493.47 "," 1,504.42 "," 1,485.69 ","4,796,838"
4/1/2005," 1,481.63 "," 1,486.21 "," 1,486.21 "," 1,475.28 ","6,077,568"
5/1/2005," 1,475.02 "," 1,477.49 "," 1,488.04 "," 1,475.02 ","5,165,222"
6/1/2005," 1,477.50 "," 1,487.68 "," 1,487.68 "," 1,476.80 ","3,532,158"
7/1/2005," 1,478.99 "," 1,485.97 "," 1,490.85 "," 1,475.85 ","8,611,256"
10/1/2005," 1,484.47 "," 1,484.82 "," 1,490.05 "," 1,483.08 ","4,937,960"
11/1/2005," 1,486.31 "," 1,482.83 "," 1,488.06 "," 1,475.15 ","5,605,648"
12/1/2005," 1,485.28 "," 1,475.82 "," 1,490.54 "," 1,469.51 ","7,328,239"
13/1/2005," 1,481.01 "," 1,495.75 "," 1,495.75 "," 1,474.69 ","7,292,721"
14/1/2005," 1,488.56 "," 1,493.12 "," 1,496.27 "," 1,486.46 ","5,598,821"
17/1/2005," 1,496.88 "," 1,498.28 "," 1,502.49 "," 1,490.56 ","3,323,734"
18/1/2005," 1,486.72 "," 1,491.60 "," 1,496.49 "," 1,482.19 ","6,417,709"
19/1/2005," 1,490.35 "," 1,491.74 "," 1,497.29 "," 1,487.57 ","6,755,217"
20/1/2005," 1,485.41 "," 1,489.91 "," 1,491.65 "," 1,481.60 ","9,557,094"
21/1/2005," 1,493.44 "," 1,518.43 "," 1,518.43 "," 1,490.32 ","13,152,362"
24/1/2005," 1,513.14 "," 1,530.84 "," 1,532.92 "," 1,511.40 ","14,133,821"
25/1/2005," 1,533.42 "," 1,536.90 "," 1,540.03 "," 1,530.98 ","8,169,145"
26/1/2005," 1,533.55 "," 1,543.62 "," 1,549.18 "," 1,529.03 ","11,693,686"
27/1/2005," 1,539.15 "," 1,534.31 "," 1,542.60 "," 1,530.17 ","10,754,198"
28/1/2005," 1,534.04 "," 1,530.25 "," 1,536.12 "," 1,526.45 ","5,483,099"
31/1/2005," 1,535.80 "," 1,540.98 "," 1,542.71 "," 1,531.99 ","6,587,929"
1/2/2005," 1,552.93 "," 1,587.56 "," 1,587.90 "," 1,548.78 ","13,000,204"
2/2/2005," 1,589.76 "," 1,596.67 "," 1,599.44 "," 1,575.24 ","13,953,745"
3/2/2005," 1,564.26 "," 1,570.11 "," 1,580.80 "," 1,553.92 ","16,063,666"
4/2/2005," 1,532.52 "," 1,571.28 "," 1,577.46 "," 1,531.84 ","14,172,434"
7/2/2005," 1,581.36 "," 1,578.27 "," 1,586.17 "," 1,572.43 ","7,993,583"
8/2/2005," 1,575.86 "," 1,581.71 "," 1,582.40 "," 1,570.70 ","7,050,311"
