Date,Open,Close,High,Low,Volume
29/6/2010, $1.27 , $1.59 , $1.67 , $1.17 ,"18,783,276"
30/6/2010, $1.72 , $1.59 , $2.03 , $1.55 ,"17,194,394"
1/7/2010, $1.67 , $1.46 , $1.73 , $1.35 ,"8,229,863"
2/7/2010, $1.53 , $1.28 , $1.54 , $1.25 ,"5,141,807"
6/7/2010, $1.33 , $1.07 , $1.33 , $1.06 ,"6,879,296"
7/7/2010, $1.09 , $1.05 , $1.11 , $1.00 ,"6,924,914"
8/7/2010, $1.08 , $1.16 , $1.17 , $1.04 ,"7,719,539"
9/7/2010, $1.17 , $1.16 , $1.19 , $1.10 ,"4,058,606"
12/7/2010, $1.20 , $1.14 , $1.20 , $1.13 ,"2,203,570"
13/7/2010, $1.16 , $1.21 , $1.24 , $1.13 ,"2,680,060"
14/7/2010, $1.20 , $1.32 , $1.34 , $1.18 ,"4,196,110"
15/7/2010, $1.33 , $1.33 , $1.43 , $1.27 ,"3,745,297"
16/7/2010, $1.38 , $1.38 , $1.42 , $1.34 ,"2,621,210"
19/7/2010, $1.42 , $1.46 , $1.48 , $1.39 ,"2,486,489"
20/7/2010, $1.46 , $1.35 , $1.46 , $1.34 ,"1,825,231"
21/7/2010, $1.38 , $1.35 , $1.39 , $1.30 ,"1,253,442"
22/7/2010, $1.37 , $1.40 , $1.42 , $1.36 ,"962,345"
23/7/2010, $1.41 , $1.42 , $1.44 , $1.40 ,"654,049"
26/7/2010, $1.43 , $1.40 , $1.43 , $1.35 ,"922,453"
27/7/2010, $1.39 , $1.37 , $1.41 , $1.35 ,"619,675"
28/7/2010, $1.37 , $1.38 , $1.39 , $1.37 ,"467,183"
29/7/2010, $1.38 , $1.36 , $1.39 , $1.33 ,"615,910"
30/7/2010, $1.35 , $1.33 , $1.36 , $1.30 ,"426,830"
2/8/2010, $1.37 , $1.39 , $1.40 , $1.36 ,"719,145"
3/8/2010, $1.40 , $1.46 , $1.46 , $1.39 ,"1,231,023"
4/8/2010, $1.46 , $1.42 , $1.48 , $1.39 ,"920,756"
5/8/2010, $1.44 , $1.36 , $1.44 , $1.34 ,"796,380"
6/8/2010, $1.34 , $1.31 , $1.34 , $1.30 ,"742,138"
9/8/2010, $1.33 , $1.31 , $1.33 , $1.30 ,"812,656"
10/8/2010, $1.31 , $1.27 , $1.31 , $1.25 ,"1,281,286"
11/8/2010, $1.25 , $1.19 , $1.26 , $1.19 ,"797,650"
12/8/2010, $1.19 , $1.17 , $1.19 , $1.16 ,"691,281"
13/8/2010, $1.21 , $1.22 , $1.23 , $1.18 ,"634,513"
16/8/2010, $1.23 , $1.25 , $1.25 , $1.22 ,"486,211"
17/8/2010, $1.26 , $1.28 , $1.29 , $1.25 ,"447,881"
18/8/2010, $1.31 , $1.25 , $1.31 , $1.24 ,"601,332"
19/8/2010, $1.24 , $1.25 , $1.28 , $1.22 ,"579,082"
20/8/2010, $1.24 , $1.27 , $1.27 , $1.23 ,"297,499"
23/8/2010, $1.27 , $1.34 , $1.36 , $1.27 ,"1,088,029"
24/8/2010, $1.28 , $1.28 , $1.31 , $1.26 ,"673,074"
25/8/2010, $1.28 , $1.33 , $1.33 , $1.24 ,"503,289"
26/8/2010, $1.33 , $1.32 , $1.35 , $1.31 ,"433,736"
27/8/2010, $1.32 , $1.31 , $1.32 , $1.30 ,"379,642"
30/8/2010, $1.31 , $1.32 , $1.35 , $1.31 ,"732,731"
31/8/2010, $1.31 , $1.30 , $1.32 , $1.29 ,"201,012"
1/9/2010, $1.31 , $1.36 , $1.38 , $1.31 ,"495,685"
2/9/2010, $1.36 , $1.40 , $1.42 , $1.35 ,"487,060"
3/9/2010, $1.39 , $1.40 , $1.42 , $1.38 ,"434,756"
7/9/2010, $1.37 , $1.37 , $1.40 , $1.37 ,"243,335"
8/9/2010, $1.38 , $1.39 , $1.40 , $1.37 ,"288,382"
9/9/2010, $1.40 , $1.38 , $1.40 , $1.38 ,"376,197"
10/9/2010, $1.38 , $1.34 , $1.40 , $1.32 ,"386,571"
13/9/2010, $1.39 , $1.38 , $1.39 , $1.37 ,"360,703"
14/9/2010, $1.37 , $1.41 , $1.44 , $1.37 ,"654,629"
15/9/2010, $1.40 , $1.47 , $1.47 , $1.39 ,"684,758"
16/9/2010, $1.48 , $1.40 , $1.54 , $1.39 ,"2,685,880"
17/9/2010, $1.40 , $1.35 , $1.42 , $1.32 ,"1,198,458"
20/9/2010, $1.38 , $1.40 , $1.42 , $1.34 ,"947,475"
21/9/2010, $1.39 , $1.38 , $1.44 , $1.38 ,"796,000"
22/9/2010, $1.39 , $1.32 , $1.40 , $1.32 ,"962,816"
23/9/2010, $1.33 , $1.30 , $1.34 , $1.30 ,"668,076"
24/9/2010, $1.33 , $1.34 , $1.35 , $1.31 ,"578,987"
27/9/2010, $1.36 , $1.37 , $1.39 , $1.34 ,"418,597"
28/9/2010, $1.40 , $1.43 , $1.43 , $1.38 ,"1,214,465"
29/9/2010, $1.41 , $1.47 , $1.47 , $1.41 ,"1,969,457"
30/9/2010, $1.47 , $1.36 , $1.48 , $1.35 ,"2,196,625"
1/10/2010, $1.38 , $1.37 , $1.38 , $1.35 ,"599,071"
4/10/2010, $1.36 , $1.40 , $1.41 , $1.35 ,"643,599"
5/10/2010, $1.41 , $1.41 , $1.42 , $1.40 ,"331,936"
6/10/2010, $1.40 , $1.36 , $1.42 , $1.35 ,"313,552"
7/10/2010, $1.37 , $1.36 , $1.38 , $1.36 ,"141,020"
8/10/2010, $1.36 , $1.36 , $1.39 , $1.36 ,"268,110"
11/10/2010, $1.36 , $1.35 , $1.38 , $1.34 ,"171,194"
12/10/2010, $1.35 , $1.35 , $1.35 , $1.34 ,"243,912"
13/10/2010, $1.38 , $1.37 , $1.39 , $1.36 ,"320,541"
14/10/2010, $1.40 , $1.38 , $1.40 , $1.36 ,"294,620"
15/10/2010, $1.39 , $1.37 , $1.39 , $1.35 ,"284,840"
18/10/2010, $1.37 , $1.35 , $1.38 , $1.35 ,"162,729"
19/10/2010, $1.35 , $1.34 , $1.36 , $1.33 ,"245,127"
20/10/2010, $1.34 , $1.38 , $1.38 , $1.34 ,"312,444"
21/10/2010, $1.37 , $1.38 , $1.40 , $1.36 ,"417,999"
22/10/2010, $1.38 , $1.38 , $1.40 , $1.37 ,"161,021"
25/10/2010, $1.40 , $1.39 , $1.40 , $1.38 ,"118,614"
