Date,Open,Close,High,Low,Volume
8/7/1999, $64.75 , $64.25 , $64.75 , $64.06 ,"2,900"
9/7/1999, $65.25 , $64.75 , $65.25 , $64.13 ,"6,200"
12/7/1999, $66.00 , $65.13 , $66.00 , $64.75 ,"13,400"
13/7/1999, $65.00 , $64.75 , $65.00 , $64.75 ,"11,000"
14/7/1999, $66.25 , $67.00 , $67.00 , $66.25 ,"33,600"
15/7/1999, $67.19 , $67.31 , $67.38 , $66.75 ,"106,500"
16/7/1999, $66.50 , $67.00 , $67.00 , $66.38 ,"12,300"
19/7/1999, $67.50 , $67.56 , $67.69 , $66.88 ,"3,700"
20/7/1999, $67.00 , $66.38 , $67.00 , $66.38 ,"6,500"
21/7/1999, $66.63 , $66.75 , $67.50 , $66.63 ,"13,300"
22/7/1999, $65.88 , $66.00 , $66.25 , $65.50 ,"29,100"
23/7/1999, $65.00 , $65.75 , $65.75 , $64.75 ,"3,000"
26/7/1999, $65.13 , $65.25 , $65.63 , $65.13 ,"3,600"
27/7/1999, $66.44 , $67.63 , $67.63 , $66.44 ,"15,500"
28/7/1999, $67.88 , $68.00 , $68.00 , $67.25 ,"14,000"
29/7/1999, $68.59 , $67.63 , $68.69 , $67.63 ,"17,300"
30/7/1999, $69.75 , $70.00 , $70.00 , $69.25 ,"13,700"
2/8/1999, $69.25 , $69.25 , $69.50 , $68.94 ,"11,200"
3/8/1999, $68.94 , $68.44 , $69.00 , $68.38 ,"6,900"
4/8/1999, $68.00 , $68.13 , $69.00 , $68.00 ,"4,600"
5/8/1999, $68.00 , $68.25 , $68.63 , $68.00 ,"7,300"
6/8/1999, $67.00 , $66.13 , $67.00 , $66.00 ,"6,700"
9/8/1999, $65.50 , $66.00 , $66.00 , $65.44 ,"4,800"
10/8/1999, $65.25 , $64.47 , $65.25 , $64.06 ,"15,100"
11/8/1999, $64.75 , $64.06 , $64.75 , $64.06 ,900
12/8/1999, $65.00 , $64.50 , $65.06 , $64.50 ,"7,200"
13/8/1999, $65.19 , $65.75 , $65.75 , $65.00 ,"10,500"
16/8/1999, $65.75 , $66.38 , $66.38 , $65.75 ,"1,700"
17/8/1999, $66.22 , $66.25 , $66.63 , $65.88 ,"64,600"
18/8/1999, $66.88 , $66.75 , $67.31 , $66.75 ,"4,700"
19/8/1999, $67.13 , $67.13 , $67.75 , $67.13 ,"3,300"
20/8/1999, $68.00 , $69.13 , $69.13 , $68.00 ,"7,000"
23/8/1999, $65.81 , $67.13 , $67.13 , $65.81 ,"30,800"
24/8/1999, $65.56 , $66.00 , $66.13 , $65.13 ,"12,900"
25/8/1999, $66.00 , $66.50 , $67.00 , $65.50 ,"32,600"
26/8/1999, $64.00 , $62.69 , $64.00 , $62.69 ,"20,200"
27/8/1999, $63.38 , $63.00 , $63.75 , $63.00 ,"12,200"
30/8/1999, $64.38 , $63.75 , $64.75 , $63.75 ,"3,600"
31/8/1999, $61.88 , $62.94 , $63.00 , $61.75 ,"33,000"
1/9/1999, $63.13 , $64.06 , $64.06 , $63.13 ,"74,200"
2/9/1999, $64.06 , $64.75 , $64.75 , $63.75 ,"14,600"
3/9/1999, $64.00 , $65.00 , $65.00 , $63.06 ,"18,500"
7/9/1999, $64.75 , $65.25 , $65.50 , $64.75 ,"7,600"
8/9/1999, $63.66 , $63.94 , $63.94 , $63.13 ,"14,200"
9/9/1999, $63.63 , $64.94 , $64.94 , $63.63 ,"24,600"
10/9/1999, $62.25 , $63.44 , $63.50 , $62.25 ,"36,600"
13/9/1999, $65.50 , $64.94 , $65.50 , $64.94 ,"11,100"
14/9/1999, $66.00 , $66.06 , $66.06 , $65.50 ,"12,500"
15/9/1999, $66.88 , $66.00 , $67.25 , $66.00 ,"11,800"
16/9/1999, $67.75 , $67.13 , $67.88 , $66.38 ,"9,600"
17/9/1999, $67.25 , $67.00 , $68.00 , $66.50 ,"4,500"
20/9/1999, $67.00 , $68.00 , $68.00 , $67.00 ,"2,200"
21/9/1999, $69.00 , $68.06 , $69.31 , $68.06 ,"32,400"
22/9/1999, $65.75 , $66.00 , $66.50 , $65.00 ,"14,500"
23/9/1999, $66.63 , $65.75 , $66.63 , $65.75 ,"1,700"
24/9/1999, $64.13 , $64.13 , $64.13 , $63.00 ,"5,200"
27/9/1999, $63.50 , $63.88 , $64.00 , $63.00 ,"34,700"
28/9/1999, $61.75 , $62.00 , $62.56 , $61.00 ,"65,300"
29/9/1999, $61.50 , $60.88 , $61.50 , $60.75 ,"173,100"
30/9/1999, $62.75 , $62.38 , $63.00 , $62.00 ,"245,500"
1/10/1999, $65.13 , $64.44 , $65.13 , $64.44 ,"180,400"
4/10/1999, $64.69 , $64.75 , $64.81 , $64.50 ,"98,200"
5/10/1999, $65.00 , $64.75 , $65.25 , $64.50 ,"106,400"
6/10/1999, $65.94 , $66.06 , $66.13 , $65.56 ,"81,700"
7/10/1999, $66.69 , $66.56 , $66.75 , $66.56 ,"50,400"
8/10/1999, $67.63 , $67.56 , $67.63 , $67.44 ,"68,500"
11/10/1999, $67.56 , $67.88 , $68.25 , $67.50 ,"43,700"
12/10/1999, $66.50 , $65.75 , $66.50 , $65.69 ,"86,200"
13/10/1999, $65.00 , $64.19 , $65.00 , $63.31 ,"101,300"
14/10/1999, $64.50 , $64.31 , $64.69 , $64.13 ,"53,900"
15/10/1999, $63.88 , $64.19 , $64.63 , $63.88 ,"39,500"
18/10/1999, $65.06 , $64.75 , $65.25 , $64.63 ,"34,400"
19/10/1999, $64.50 , $65.38 , $65.69 , $64.50 ,"54,100"
20/10/1999, $66.00 , $65.94 , $66.00 , $65.63 ,"29,000"
21/10/1999, $65.94 , $65.50 , $65.94 , $65.31 ,"10,600"
22/10/1999, $67.38 , $67.75 , $67.88 , $67.25 ,"31,900"
25/10/1999, $67.88 , $68.06 , $68.19 , $67.81 ,"27,100"
26/10/1999, $68.63 , $68.81 , $69.00 , $68.63 ,"13,100"
27/10/1999, $67.88 , $67.63 , $67.88 , $67.56 ,"16,300"
28/10/1999, $67.75 , $67.63 , $67.88 , $67.63 ,"17,600"
29/10/1999, $68.13 , $68.88 , $69.00 , $68.13 ,"21,300"
1/11/1999, $68.88 , $68.25 , $68.88 , $68.25 ,"20,600"
2/11/1999, $68.25 , $68.25 , $68.69 , $68.13 ,"18,600"
3/11/1999, $68.00 , $68.75 , $68.94 , $68.00 ,"20,800"
4/11/1999, $69.75 , $70.13 , $70.38 , $69.75 ,"87,600"
5/11/1999, $69.63 , $70.00 , $70.00 , $69.63 ,"17,800"
