Date,Open,Close,High,Low,Volume
10/5/2019, $42.00 , $41.57 , $45.00 , $41.06 ,"186,322,536"
13/5/2019, $38.79 , $37.10 , $39.24 , $36.08 ,"79,442,420"
14/5/2019, $38.31 , $39.96 , $39.96 , $36.85 ,"46,661,147"
15/5/2019, $39.37 , $41.29 , $41.88 , $38.95 ,"36,086,065"
16/5/2019, $41.48 , $43.00 , $44.06 , $41.25 ,"38,115,524"
17/5/2019, $41.98 , $41.91 , $43.29 , $41.27 ,"20,225,687"
20/5/2019, $41.19 , $41.59 , $41.68 , $39.46 ,"29,222,330"
21/5/2019, $42.00 , $41.50 , $42.24 , $41.25 ,"10,802,851"
22/5/2019, $41.05 , $41.25 , $41.28 , $40.50 ,"9,089,469"
23/5/2019, $40.80 , $40.47 , $41.09 , $40.02 ,"11,119,870"
24/5/2019, $41.28 , $41.51 , $41.51 , $40.50 ,"8,786,751"
28/5/2019, $41.70 , $40.95 , $41.80 , $40.60 ,"13,391,605"
29/5/2019, $40.52 , $39.94 , $40.71 , $39.15 ,"14,060,447"
30/5/2019, $40.07 , $39.80 , $40.38 , $39.50 ,"26,451,864"
31/5/2019, $41.15 , $40.41 , $41.57 , $39.41 ,"23,209,848"
3/6/2019, $40.74 , $41.25 , $41.85 , $40.24 ,"16,605,261"
4/6/2019, $42.56 , $42.75 , $42.88 , $40.70 ,"23,432,141"
5/6/2019, $42.87 , $45.00 , $45.66 , $42.50 ,"28,609,604"
6/6/2019, $45.00 , $44.92 , $45.75 , $44.28 ,"16,403,691"
7/6/2019, $44.92 , $44.16 , $45.67 , $44.13 ,"12,654,670"
10/6/2019, $44.02 , $42.61 , $44.59 , $42.53 ,"11,618,701"
11/6/2019, $43.22 , $42.45 , $43.65 , $41.80 ,"9,095,044"
12/6/2019, $42.52 , $42.17 , $42.65 , $41.71 ,"5,965,250"
13/6/2019, $43.05 , $44.31 , $44.35 , $42.80 ,"10,178,935"
14/6/2019, $44.75 , $43.23 , $44.80 , $43.11 ,"7,902,223"
17/6/2019, $43.28 , $43.78 , $44.08 , $42.93 ,"6,557,589"
18/6/2019, $44.30 , $43.86 , $44.89 , $43.75 ,"7,313,602"
19/6/2019, $44.46 , $44.86 , $45.50 , $43.95 ,"10,331,520"
20/6/2019, $45.03 , $43.86 , $45.29 , $43.51 ,"9,567,367"
21/6/2019, $43.85 , $44.00 , $44.14 , $43.38 ,"4,973,987"
24/6/2019, $44.00 , $43.09 , $44.07 , $42.82 ,"5,985,052"
25/6/2019, $43.28 , $43.09 , $43.79 , $42.44 ,"5,755,107"
26/6/2019, $43.25 , $42.50 , $43.40 , $42.36 ,"8,109,056"
27/6/2019, $43.35 , $45.13 , $45.30 , $43.20 ,"20,155,079"
28/6/2019, $45.10 , $46.38 , $47.08 , $45.08 ,"28,657,002"
1/7/2019, $46.98 , $44.27 , $47.04 , $44.06 ,"17,739,998"
2/7/2019, $44.55 , $44.00 , $44.68 , $43.75 ,"11,881,274"
3/7/2019, $44.00 , $44.23 , $44.46 , $43.79 ,"3,380,003"
5/7/2019, $44.31 , $43.53 , $44.55 , $43.01 ,"8,239,452"
8/7/2019, $43.59 , $42.95 , $43.85 , $42.75 ,"9,304,101"
9/7/2019, $43.18 , $44.20 , $44.23 , $42.98 ,"5,251,564"
10/7/2019, $44.48 , $43.70 , $44.80 , $43.56 ,"9,746,505"
11/7/2019, $44.10 , $43.99 , $44.29 , $43.31 ,"8,050,856"
12/7/2019, $44.16 , $43.99 , $44.24 , $43.39 ,"8,760,526"
15/7/2019, $44.20 , $44.53 , $44.70 , $43.97 ,"5,811,160"
16/7/2019, $44.60 , $44.13 , $44.98 , $44.02 ,"5,613,321"
17/7/2019, $44.06 , $43.62 , $44.35 , $43.52 ,"5,854,149"
18/7/2019, $43.50 , $43.71 , $43.85 , $43.19 ,"4,123,615"
19/7/2019, $43.90 , $43.18 , $44.09 , $43.16 ,"4,021,018"
22/7/2019, $43.25 , $43.69 , $43.72 , $43.01 ,"3,822,276"
23/7/2019, $43.75 , $43.36 , $44.31 , $43.11 ,"5,110,090"
24/7/2019, $43.36 , $43.76 , $43.87 , $43.36 ,"3,775,677"
25/7/2019, $43.72 , $43.40 , $43.96 , $43.21 ,"4,411,991"
26/7/2019, $43.42 , $44.52 , $44.96 , $43.39 ,"7,598,828"
29/7/2019, $45.00 , $43.88 , $45.63 , $43.12 ,"8,652,204"
30/7/2019, $43.71 , $42.59 , $43.74 , $42.49 ,"7,686,342"
31/7/2019, $42.60 , $42.14 , $42.98 , $41.84 ,"5,970,774"
1/8/2019, $42.14 , $41.31 , $42.54 , $41.00 ,"7,349,740"
2/8/2019, $41.03 , $40.40 , $41.06 , $39.95 ,"8,225,677"
5/8/2019, $39.35 , $39.05 , $39.42 , $38.43 ,"9,799,269"
6/8/2019, $39.68 , $39.15 , $40.81 , $38.36 ,"8,570,273"
7/8/2019, $39.06 , $39.70 , $39.99 , $38.32 ,"8,896,039"
8/8/2019, $41.98 , $42.97 , $43.00 , $41.25 ,"29,610,463"
9/8/2019, $39.56 , $40.05 , $40.68 , $38.71 ,"35,138,775"
12/8/2019, $39.83 , $37.00 , $39.95 , $37.00 ,"21,231,346"
13/8/2019, $37.00 , $36.45 , $37.46 , $36.12 ,"19,031,422"
14/8/2019, $36.00 , $33.96 , $36.30 , $33.36 ,"24,481,636"
15/8/2019, $34.52 , $33.22 , $34.55 , $32.92 ,"13,265,793"
16/8/2019, $33.46 , $35.23 , $35.48 , $33.40 ,"13,883,152"
19/8/2019, $35.53 , $34.61 , $35.80 , $34.37 ,"10,853,126"
